Видеокарта,Цена,комплектация,область применения,особенности,объем видеопамяти,тип памяти,частота памяти,шина обмена с памятью,частота видеопроцессора,разъемы и интерфейсы,тип подключения,поддержка технологий,разъем дополнительного питания,максимальное разрешение,количество поддерживаемых мониторов,техпроцесс,TDP,SLI/NVLink/CrossFire
"Видеокарта GIGABYTE AORUS Radeon RX 6750 XT ELITE 12G, GV-R675XTAORUS E-12GD, Retail",44739,Retail,игровая,необходимость дополнительного питания,12288 МБ,GDDR6,18000 МГц,192 бит,2324 МГц,"выход DisplayPort x 2, выход HDMI x 2",PCI Express 4.0,"поддержка HDCP, поддержка Vulkan",8 pin + 6 pin,7680x4320,4,7 нм,250 Вт,
"Видеокарта PowerColor Hellhound Radeon RX 6700XT 12GB (AXRX 6700XT 12GBD6-3DHL), Retail",37445,Retail,игровая,необходимость дополнительного питания,12288 МБ,GDDR6,16000 МГц,192 бит,2321 МГц,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка HDCP, поддержка Vulkan",8 pin + 8 pin,7680x4320,4,7 нм,230 Вт,
"Видеокарта Palit GeForce RTX 2060 SUPER DUAL 8GB (NE6206S018P2-1160A), Retail",27625,Retail,игровая,,8192 МБ,GDDR6,14000 МГц,256 бит,1470 МГц,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,"поддержка CUDA, поддержка Vulkan, поддержка трассировки лучей",8 pin,7680x4320,3,12 нм,175 Вт,
"Видеокарта AFOX GeForce RTX 3060 12GB (AF3060-12GD6H2), Retail",29071,Retail,игровая,,12288 МБ,GDDR6,,192 бит,1320 МГц,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка CUDA, поддержка HDCP, поддержка трассировки лучей",8 pin,7680x4320,4,8 нм,,
"Видеокарта KFA2 GeForce GTX 1660 Super 1800MHz PCI-E 3.0 6144MB 14000MHz 192 bit DVI HDMI DisplayPort HDCP 1-Click OC, Retail",19980,Retail,,,6144 МБ,GDDR6,14000 МГц,192 бит,1800 МГц,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,,8 pin,7680x4320,3,12 нм,125 Вт,
"Видеокарта Asus Rog-strix-rtx4090-24G-gaming /RTX4090, HDMI*2, DP*3,24G, D6X (90YV0ID1-M0NA00)",237100,Retail,игровая,,24576 МБ,GDDR6X,21000 МГц,384 бит,2550 МГц,"выход DisplayPort, выход DisplayPort x 3, выход HDMI, выход HDMI x 2",PCI Express 4.0,поддержка CUDA,16 pin,7680x4320,4,4 нм,,
Видеокарта XFX SPEEDSTER MERC 310 AMD Radeon RX 7900 XT,89990,,игровая,,,GDDR6,,320 бит,2535 МГц,,PCI Express 4.0,,,4096x2160,4,,,
"Видеокарта Sinotex Ninja GeForce GT 730 4GB (NK73NP043F), Retail",4449,Retail,,,4096 МБ,GDDR3,1333 МГц,128 бит,700 МГц,"выход DVI, выход HDMI, выход VGA",PCI Express 3.0,,,2560x1600,2,40 нм,49 Вт,
"Видеокарта ASUS TUF Gaming GeForce GTX 1660 SUPER OC 6GB (TUF-GTX1660S-O6G-GAMING), Retail",14900,Retail,игровая,необходимость дополнительного питания,6144 МБ,GDDR6,14002 МГц,192 бит,1815 МГц,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan",8 pin,7680x4320,3,12 нм,,
"Видеокарта ASUS Phoenix GeForce GTX 1650 SUPER OC 4GB (PH-GTX1650S-O4G), Retail",17390,Retail,игровая,необходимость дополнительного питания,4096 МБ,GDDR6,12002 МГц,128 бит,1530 МГц,"выход DVI, выход DisplayPort, выход HDMI, интерфейс USB Type-C",PCI Express 3.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan",6 pin,7680x4320,3,12 нм,,
"Видеокарта GIGABYTE GeForce RTX 3080 Ti GAMING OC 12G (GV-N308TGAMING OC-12GD), Retail",91207,Retail,игровая,,12288 МБ,GDDR6X,19000 МГц,384 бит,1710 МГц,"выход DisplayPort x 3, выход HDMI, выход HDMI x 2",PCI Express 4.0,"поддержка CUDA, поддержка трассировки лучей",8 pin + 8 pin,7680x4320,4,8 нм,350 Вт,
"Видеокарта GIGABYTE Radeon RX 6500 XT GAMING OC 4G (GV-R65XTGAMING OC-4GD), Retail",14835,Retail,игровая,необходимость дополнительного питания,4096 МБ,GDDR6,18000 МГц,64 бит,2685 МГц,"выход DisplayPort, выход HDMI",PCI Express 4.0,"поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",6 pin,7680x4320,2,6 нм,107 Вт,
Видеокарта Gigabyte RTX4070 WINDFORCE OC 12GB,72446,,игровая,,,GDDR6X,,192 бит,2490 МГц,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка CUDA, поддержка трассировки лучей",16 pin,7680x4320,4,,,
"Видеокарта ZOTAC GAMING GeForce GTX 1650 AMP Core (ZT-T16520J-10L), Retail",16290,Retail,игровая,,4096 МБ,GDDR6,12000 МГц,128 бит,1650 МГц,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,,6 pin,7680x4320,3,12 нм,75 Вт,
"Видеокарта AFOX GEFORCE GTX 1660 SUPER 6GB (AF1660S-6144D6H1-V2), Retail",19267,Retail,игровая,,6144 МБ,GDDR6,,192 бит,1785 МГц,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,,,7680x4320,2,12 нм,,
"Видеокарта GIGABYTE GeForce GTX 1070 1582MHz PCI-E 3.0 8192MB 8008MHz 256 bit DVI HDMI HDCP WINDFORCE OC rev. 1.0, Retail",15990,Retail,игровая,,8192 МБ,GDDR5,8008 МГц,256 бит,1582 МГц,"выход DVI, выход DisplayPort x 3, выход HDMI",PCI Express 3.0,,8 pin,7680x4320,4,16 нм,150 Вт,поддержка SLI/CrossFire
"Видеокарта ASUS Dual Radeon RX 6400 4Gb (DUAL-RX6400-4G), Retail",14663,Retail,,,4096 МБ,GDDR6,16000 МГц,64 бит,2321 МГц,"выход DisplayPort, выход HDMI",PCI Express 4.0,поддержка HDCP,,7680x4320,2,,,
KFA2 GeForce GTX 1660 Super EX White (1-Click OC),16600,,,,,,,,,,,,,,,,,
"Видеокарта NVIDIA Quadro RTX 8000 48GB, OEM",489000,OEM,профессиональная,"необходимость дополнительного питания, пассивное охлаждение",49152 МБ,GDDR6,14000 МГц,384 бит,1230 МГц,"выход DisplayPort, выход DisplayPort x 4",PCI Express 3.0,"поддержка CUDA, поддержка Vulkan, поддержка трассировки лучей",8 pin,7680x4320,не поддерживается,12 нм,295 Вт,
Видеокарта PELADN GeForce RTX 3060 Ti,33000,,игровая,,8192 МБ,GDDR6,,256 бит,,,PCI Express 4.0,,,7680x4320,4,8 нм,,
Asus HD6850,2740,,,,1024 МБ,GDDR5,4000 МГц,256 бит,790 МГц,,,,,,,,,
"Видеокарта MSI GeForce GTX 1650 (D6 VENTUS XS OCV1 4GB), Retail",16692,Retail,игровая,,4096 МБ,GDDR6,12000 МГц,128 бит,1620 МГц,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,поддержка CUDA,6 pin,7680x4320,3,12 нм,75 Вт,
"Видеокарта Palit GeForce RTX 3060 Dual OC 12 GB (NE63060T19K9-190AD), Retail",34188,Retail,игровая,,12288 МБ,GDDR6,16000 МГц,192 бит,1837 МГц,"выход DisplayPort, выход DisplayPort x 3, выход HDMI, интерфейс USB Type-C",PCI Express 4.0,,8 pin,7680x4320,4,8 нм,180 Вт,
"Видеокарта GIGABYTE GeForce RTX 4070 Ti EAGLE OC 12GB (GV-N407TEAGLE OC-12GD), Retail",90118,Retail,игровая,необходимость дополнительного питания,12288 МБ,GDDR6X,21000 МГц,192 бит,2625 МГц,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",16 pin,7680x4320,4,4 нм,,
"Видеокарта Palit GeForce RTX 3050 Dual 8Gb, NE63050019P1-190AD, Retail",19999,Retail,игровая,"Low Hash Rate, необходимость дополнительного питания",8192 МБ,GDDR6,14000 МГц,128 бит,1552 МГц,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",8 pin,7680x4320,4,8 нм,130 Вт,
4gb geforce gt 730 4gb d3 kfa2,5410,OEM,игровая,,4096 МБ,GDDR3,,128 бит,,выход VGA,,,,,,,,
Видеокарта Leadtek GeForce GTX 460 800Mhz PCI-E 2.0 1024Mb 4000Mhz 256 bit,2691,,,,1024 МБ,GDDR5,4000 МГц,256 бит,800 МГц,выход DVI x 2,PCI Express 2.0,,,2560x1600,2,40 нм,,поддержка SLI/CrossFire
"Видеокарта ASUS GeForce RTX 3070 DUAL V2 OC 8GB, DUAL-RTX3070-O8G-V2, Retail",55043,Retail,игровая,необходимость дополнительного питания,8192 МБ,GDDR6,14000 МГц,256 бит,1770 МГц,"выход DisplayPort x 3, выход HDMI, выход HDMI x 2, интерфейс USB Type-C",PCI Express 4.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",8 pin + 8 pin,7680x4320,4,8 нм,220 Вт,
Видеокарта 12 Gb Gigabyte GeForce RTX3060 AORUS (GV-N3060AORUS E-12GD 2.0),49097,,игровая,OpenGL 4.6,,GDDR6,15000 МГц,192 бит,,PCI-E;HDMI;DisplayPort,PCI Express 4.0,NVIDIA Ray Tracing;NVIDIA DLSS;NVIDIA Reflex;NVIDIA Broadcast;NVIDIA STUDIO;NVIDIA G-Sync;NVIDIA CUDA;NVIDIA Dynamic Super Resolution (DSR),8 pin + 8 pin,7680x4320,4,,,
Видеокарта nVidia GeForce RTX3070 Zotac Gaming Twin Edge LHR 8Gb (ZT-A30700E-10PLHR),48159,,игровая,,8192 МБ,GDDR6,,256 бит,,,PCI Express 4.0,,,,,8 нм,,
"Видеокарта Sapphire PULSE Radeon RX 6600 8 GB (11310-01-20G), Retail",27551,Retail,игровая,необходимость дополнительного питания,8192 МБ,GDDR6,14000 МГц,128 бит,1626 МГц,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",8 pin,7680x4320,4,7 нм,140 Вт,
"Видеокарта MSI GeForce GTX 1650 VENTUS XS 4G OCV1, Retail",16800,Retail,игровая,,4096 МБ,GDDR5,8000 МГц,128 бит,1695 МГц,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,"поддержка CUDA, поддержка Vulkan",,7680x4320,3,12 нм,75 Вт,
"Видеокарта AFOX Radeon R9 370 4Gb (AFR9370-4096D5H4), Retail",9569,Retail,,,4096 МБ,GDDR5,,256 бит,860 МГц,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,поддержка HDCP,,3840x2160,3,28 нм,,
"Видеокарта MSI GeForce RTX 2060 SUPER VENTUS OCV1 8GB, Retail",34277,Retail,игровая,,8192 МБ,GDDR6,14000 МГц,256 бит,1470 МГц,"выход DisplayPort x 3, выход HDMI",PCI Express 3.0,,8 pin + 6 pin,7680x4320,4,12 нм,175 Вт,
"Видеокарта MSI GeForce RTX 4080 GAMING X TRIO 16GB, Retail",113990,Retail,игровая,,16384 МБ,GDDR6X,22400 МГц,256 бит,2610 МГц,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,,16 pin,7680x4320,4,5 нм,320 Вт,
"Видеокарта Palit GeForce RTX 3070 GamingPro V1 LHR 8GB (NE63070019P2-1041A V1), Retail",51100,Retail,игровая,необходимость дополнительного питания,8192 МБ,GDDR6,14000 МГц,256 бит,1725 МГц,"выход DisplayPort x 3, выход HDMI, интерфейс USB Type-C",PCI Express 4.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",8 pin + 8 pin,7680x4320,4,8 нм,220 Вт,
"Видеокарта MSI GeForce RTX 4070 Ti GAMING X TRIO 12GB, Retail",90910,Retail,игровая,необходимость дополнительного питания,12288 МБ,GDDR6X,21000 МГц,192 бит,2760 МГц,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",16 pin,7680x4320,4,4 нм,285 Вт,
Видеокарта pcwinmax RX550 2GB,5600,,,,2048 МБ,GDDR5,6000 МГц,"128 бит, 64 бит",1183 МГц,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,,,5120 х 2880,2,,,
"Видеокарта Sapphire Nitro+ Radeon RX 470 1143MHz PCI-E 3.0 4096MB 7000Hz 256 bit DVI 2xHDMI HDCP (11256-06), Retail",7800,Retail,,,4096 МБ,GDDR5,7000 МГц,256 бит,1143 МГц,"выход DVI, выход DisplayPort x 2, выход HDMI x 2",PCI Express 3.0,,8 pin,7680x4320,5,14 нм,120 Вт,
Видеокарта AFOX Radeon R7 350 2048Mb ATX Single fan AFR7350-2048D5H4,5799,,игровая,,2048 МБ,GDDR5,,,,,,,,4096x2160,,,,
Видеокарта GTX 1660 Super galax 6GB gddr6,14999,,,,6144 МБ,GDDR6,14000 МГц,192 бит,,,PCI Express 3.0,,8 pin,7680x4320,4,,,
"Видеокарта GIGABYTE Radeon RX 6400 D6 LOW PROFILE 4G (GV-R64D6-4GL), Retail",11601,Retail,,низкопрофильная карта (Low Profile),4096 МБ,GDDR6,16000 МГц,64 бит,2321 МГц,"выход DisplayPort, выход HDMI",PCI Express 4.0,поддержка HDCP,,7680x4320,2,6 нм,,
"Видеокарта ASUS GeForce GT 730 2GB (GT730-SL-2GD5-BRK-E), Retail",6520,Retail,,"низкопрофильная карта (Low Profile), пассивное охлаждение",2048 МБ,GDDR5,5010 МГц,64 бит,706 МГц,"выход DVI, выход HDMI, выход VGA",PCI Express 2.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan",,3840x2160,3,28 нм,,
Видеокарта ASUS GeForce GTX 960 1190Mhz PCI-E 3.0 4096Mb 7010Mhz 128 bit DVI HDMI HDCP TURBO,8190,,,,4096 МБ,GDDR5,7010 МГц,128 бит,1190 МГц,выход HDMI,PCI Express 3.0,,6 pin,5120x3200,4,28 нм,,поддержка SLI/CrossFire
"Видеокарта ASRock Radeon RX 6500 XT Phantom Gaming D 4GB OC (RX6500XT PGD 4GO), Retail",36029,Retail,игровая,необходимость дополнительного питания,4096 МБ,GDDR6,18000 МГц,64 бит,2820 МГц,"выход DisplayPort, выход HDMI",PCI Express 4.0,поддержка HDCP,8 pin,7680x4320,2,6 нм,,
"Видеокарта Sinotex Ninja GeForce GT 730 2GB (NK73NP023F), Retail",4090,Retail,игровая,,2048 МБ,GDDR3,1333 МГц,128 бит,700 МГц,"выход DVI, выход HDMI, выход VGA",PCI Express 2.0,,,2560x1600,2,40 нм,25 Вт,
Видеокарта MSI RTX3060 VENTUS 2X 8G OC,28681,Retail,игровая,необходимость дополнительного питания,8192 МБ,GDDR6,1410 МГц,128 бит,,"выход DisplayPort, выход HDMI, интерфейс USB Type-C",PCI Express 4.0,поддержка CUDA,8 pin,7680x4320,4,8 нм,,
"Видеокарта AFOX GeForce GTX 1650 4GB ATX Dual Fan (AF1650-4096D6H1-V4), Retail",14990,Retail,игровая,,4096 МБ,GDDR6,12000 МГц,128 бит,1665 МГц,"выход DisplayPort, выход HDMI",PCI Express 3.0,"поддержка CUDA, поддержка HDCP",6 pin,4096x2160,3,12 нм,,
"Видеокарта GIGABYTE Radeon RX 6700 XT EAGLE 12GB (GV-R67XTEAGLE-12GD), Retail",41481,Retail,игровая,необходимость дополнительного питания,12288 МБ,GDDR6,16000 МГц,192 бит,2424 МГц,"выход DisplayPort x 2, выход HDMI x 2, интерфейс USB Type-C",PCI Express 4.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",8 pin + 6 pin,7680x4320,4,7 нм,250 Вт,
"Видеокарта MSI GeForce GTX 1660 SUPER GAMING 6GB, Retail",17199,Retail,игровая,необходимость дополнительного питания,6144 МБ,GDDR6,14000 МГц,192 бит,1785 МГц,"выход DisplayPort x 3, выход HDMI",PCI Express 3.0,"поддержка CUDA, поддержка HDCP",8 pin,7680x4320,4,12 нм,125 Вт,
Видеокарта Sinotex Ninja GeForce GTX750 (NH75NP045F),8090,Retail,игровая,,4096 МБ,GDDR5,5000 МГц,128 бит,1072 МГц,"выход DVI, выход HDMI",PCI Express 3.0,поддержка CUDA,,2560x1600,3,28 нм,55 Вт,
"Видеокарта Palit GeForce RTX 3070 GamingPro OC V1 8Gb, Retail",52200,Retail,игровая,Low Hash Rate,8192 МБ,GDDR6,14000 МГц,256 бит,1770 МГц,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",8 pin + 8 pin,7680x4320,4,8 нм,220 Вт,поддержка SLI/CrossFire
"Видеокарта NVIDIA Tesla V100 32GB (900-2G500-0010-000), OEM",929910,OEM,игровая,,32768 МБ,HBM2,878 МГц,4096 бит,1246 МГц,,PCI Express 3.0,,8 pin,,не поддерживается,12 нм,250 Вт,
Видеокарта GIGABYTE GeForce GTX 760 [GV-N760OC-2GD] Windforce,6590,,,,,GDDR5,,256 бит,,,,,,,,,,
"Видеокарта Palit GeForce RTX 3060 Ti Dual 8GB (NE6306T019P2-190AD V1), Retail",32000,Retail,игровая,,8192 МБ,GDDR6,14000 МГц,256 бит,1410 МГц,"выход DisplayPort x 3, выход HDMI, интерфейс USB Type-C",PCI Express 4.0,"поддержка CUDA, поддержка Vulkan, поддержка трассировки лучей",8 pin,7680x4320,4,8 нм,200 Вт,
Видеокарта MSI GeForce RTX 3070 8 ГБ (RTX 3070 GAMING Z TRIO),45900,,игровая,,8192 МБ,GDDR6,,256 бит,1500 МГц,выход HDMI,PCI Express 4.0,,,7680x4320,4,8 нм,,
"Видеокарта GIGABYTE GeForce GTX 1650 OC Low Profile 4G (GV-N1650OC-4GL), Retail",16099,Retail,игровая,,4096 МБ,GDDR5,8002 МГц,128 бит,1695 МГц,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,,,7680x4320,3,12 нм,75 Вт,
"Видеокарта GIGABYTE GeForce GTX 1650 OC Low Profile 4G (GV-N1650OC-4GL), Retail",16099,Retail,игровая,,4096 МБ,GDDR5,8002 МГц,128 бит,1695 МГц,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,,,7680x4320,3,12 нм,75 Вт,
"Видеокарта Palit GeForce RTX 3070 JetStream 8GB (NE63070019P2-1040J), Retail",39590,Retail,игровая,,8192 МБ,GDDR6,14000 МГц,256 бит,1500 МГц,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,,8 pin + 8 pin,7680x4320,4,8 нм,270 Вт,
"Видеокарта PowerColor Red Devil Radeon RX 6750 XT 12GB (AXRX 6750 XT 12GBD6-3DHE/OC), Retail",45380,Retail,игровая,необходимость дополнительного питания,12288 МБ,GDDR6,18000 МГц,192 бит,2713 МГц,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,поддержка Vulkan,8 pin + 8 pin,7680x4320,4,7 нм,250 Вт,
"Видеокарта Sinotex Ninja Radeon R7 350 2GB (AHR735025F), Retail",4799,Retail,игровая,,2048 МБ,GDDR3,1600 МГц,128 бит,1000 МГц,"выход DVI, выход HDMI, выход VGA",PCI Express 3.0,,,2560x1600,2,28 нм,75 Вт,
"Видеокарта Sapphire Radeon RX 6700 XT Pulse 12GB (11306-02-20G), Retail",41151,Retail,игровая,необходимость дополнительного питания,12288 МБ,GDDR6,16000 МГц,192 бит,2424 МГц,"выход DVI, выход DisplayPort, выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка Vulkan, поддержка трассировки лучей",8 pin + 6 pin,7680x4320,4,7 нм,230 Вт,
"Видеокарта Palit GeForce RTX 3090 GameRock 24GB (NED3090T19SB-1021G), Retail",79999,Retail,игровая,,24576 МБ,GDDR6X,19500 МГц,384 бит,1395 МГц,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,,8 pin+8 pin+8 pin,7680x4320,4,8 нм,370 Вт,
"Видеокарта Palit GeForce RTX 3090 GameRock 24GB (NED3090T19SB-1021G), Retail",79999,Retail,игровая,,24576 МБ,GDDR6X,19500 МГц,384 бит,1395 МГц,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,,8 pin+8 pin+8 pin,7680x4320,4,8 нм,370 Вт,
Видеокарта Gainward RTX4070 GHOST OC 12GB GDDR6X 192bit 3-DP HDMI,69231,Retail,игровая,,,GDDR6X,21000 МГц,192 бит,1920 МГц,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,поддержка трассировки лучей,,7680x4320,,5 нм,,
"Видеокарта ASUS Dual GeForce RTX 3060 Ti V2 OC (DUAL-RTX3060TI-O8G-V2), Retail",42990,Retail,игровая,"Low Hash Rate, необходимость дополнительного питания",8192 МБ,GDDR6,14000 МГц,256 бит,1710 МГц,"выход DisplayPort x 3, выход HDMI x 2, интерфейс USB Type-C",PCI Express 4.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",8 pin,7680x4320,4,8 нм,200 Вт,
"Видеокарта MSI GeForce RTX 2060 SUPER VENTUS OC, OEM",21700,OEM,игровая,,8192 МБ,GDDR6,14000 МГц,256 бит,1665 МГц,"выход DisplayPort x 3, выход HDMI",PCI Express 3.0,"поддержка CUDA, поддержка HDCP, поддержка трассировки лучей",8 pin,7680x4320,4,12 нм,175 Вт,
Видеокарта AFOX Radeon R5 230 2048Mb LP Single Fan (AFR5230-2048D3L5),2890,Retail,игровая,низкопрофильная карта (Low Profile),2000 МБ,GDDR3,1334 МГц,64 бит,625 МГц,"выход DVI, выход HDMI, выход VGA",PCI Express 2.0,,Нет,4096x2160,2,40 нм,,
ASUS GeForce GTX 1070 8192Mb,15990,OEM,игровая,необходимость дополнительного питания,8192 МБ,GDDR5,,256 бит,1582 МГц,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,,8 pin,7680x4320,4,16 нм,150 Вт,
Видеокарта ZOTAC GeForce GTS 450 810Mhz PCI-E 2.0 1024Mb 3608Mhz 128 bit 2xDVI HDMI HDCP,1755,,,,,,,,,,,,,,,,,
"Видеокарта GIGABYTE GeForce RTX 3060 VISION OC 12G (GV-N3060VISION OC-12GD) (rev. 2.0), Retail",39534,Retail,игровая,"Low Hash Rate, необходимость дополнительного питания",12288 МБ,GDDR6,15000 МГц,192 бит,1837 МГц,"выход DisplayPort x 2, выход HDMI x 2",PCI Express 4.0,"поддержка CUDA, поддержка трассировки лучей",8 pin,7680x4320,4,8 нм,,
"Видеокарта ASUS TUF Gaming GeForce RTX 3060 V2 OC Edition 12GB (TUF-RTX3060-O12G-V2-GAMING), Retail",40990,Retail,игровая,,12288 МБ,GDDR6,15000 МГц,192 бит,1852 МГц,"выход DisplayPort x 3, выход HDMI x 2, интерфейс USB Type-C",PCI Express 4.0,,8 pin,7680x4320,4,8 нм,170 Вт,поддержка SLI/CrossFire
"Видеокарта AFOX Radeon R5 220 2 GB (AFR5220-2048D3L5), Retail",2790,Retail,,,2048 МБ,GDDR3,1334 МГц,64 бит,650 МГц,"выход DVI, выход HDMI, выход VGA",,,,4096x2160,2,40 нм,,
"Видеокарта ASUS GeForce GT 1030 Silent LP 2GB (GT1030-SL-2G-BRK), Retail",9345,Retail,игровая,,2048 МБ,GDDR5,6008 МГц,64 бит,1228 МГц,"выход DVI, выход HDMI",PCI Express 3.0,,,4096x2160,2,14 нм,30 Вт,
"Видеокарта MSI GeForce RTX 4070 Ti SUPRIM X 12G, Retail",95140,Retail,игровая,необходимость дополнительного питания,12288 МБ,GDDR6X,21000 МГц,192 бит,2790 МГц,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",16 pin,7680x4320,4,4 нм,285 Вт,
"Видеокарта ASUS TUF Gaming GeForce RTX 3070 V2 OC Edition 8GB, TUF-RTX3070-O8G-V2-GAMING, Retail",58989,Retail,игровая,"Low Hash Rate, необходимость дополнительного питания",8192 МБ,GDDR6,14000 МГц,256 бит,1500 МГц,"выход DisplayPort x 3, выход HDMI x 2, интерфейс USB Type-C",PCI Express 4.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",8 pin + 8 pin,7680x4320,4,8 нм,220 Вт,
"Видеокарта MSI Radeon RX 6650 XT GAMING X 8G, Retail",34978,Retail,,необходимость дополнительного питания,8192 МБ,GDDR6,17500 МГц,128 бит,2694 МГц,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка HDCP, поддержка Vulkan",8 pin,7680x4320,4,7 нм,175 Вт,
"Видеокарта AFOX Radeon R5 230 2GB (AFR5230-2048D3L9-V2), Retail",2574,Retail,игровая,,2048 МБ,GDDR3,1066 МГц,64 бит,625 МГц,"выход DVI, выход HDMI, выход VGA",PCI Express 2.0,поддержка HDCP,,2048x1536,2,40 нм,20 Вт,
"Видеокарта GIGABYTE GeForce GT 710 2GB (GV-N710D3-2GL) rev 2.0, Retail",4500,Retail,игровая,низкопрофильная карта (Low Profile),2048 МБ,GDDR3,1600 МГц,64 бит,954 МГц,"выход DVI, выход HDMI, выход VGA",PCI Express 2.0,,,4096x2160,2,28 нм,19 Вт,
"Видеокарта Palit GeForce RTX 3080 GamingPro 10GB (NED3080019IA-132AA), Retail",70450,Retail,игровая,,10240 МБ,GDDR6X,19000 МГц,320 бит,1440 МГц,"выход DisplayPort, выход DisplayPort x 3, выход HDMI, PCI",PCI Express 4.0,"поддержка CUDA, поддержка Vulkan",8 pin + 8 pin,7680x4320,4,8 нм,320 Вт,
Видеокарта Sapphire Radeon X1650 Pro 450Mhz PCI-E 256Mb 1300Mhz 128 bit 2xDVI TV HDCP YPrPb,585₽,,,,,,,,,,,,,,,,,
"Видеокарта GIGABYTE Radeon RX 6600 EAGLE 8G (GV-R66EAGLE-8GD), Retail",31189,Retail,игровая,необходимость дополнительного питания,8192 МБ,GDDR6,16000 МГц,128 бит,2044 МГц,"выход DisplayPort x 2, выход HDMI x 2",PCI Express 4.0,"поддержка Vulkan, поддержка трассировки лучей",8 pin,7680x4320,4,7 нм,132 Вт,
"Видеокарта Palit GeForce GTX 1660 SUPER GP OC 6GB (NE6166SS18J9-1160A-1), Retail",24890,Retail,игровая,,6144 МБ,GDDR6,14000 МГц,192 бит,1530 МГц,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,,8 pin,7680x4320,3,12 нм,125 Вт,
"GIGABYTE Видеокарта GIGABYTE GeForce RTX 3060 GAMING OC 8G GV-N3060GAMING OC-8GD (GeForce RTX 3060, 8ГБ GDDR6, 2xHDMI, 2xDP) (PCI-E) (ret)",27903,Retail,игровая,,8192 МБ,GDDR6,1320 МГц,192 бит,1500 МГц,выход DisplayPort x 2,PCI Express 4.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",8 pin,7680x4320,4,8 нм,,
"Видеокарта Colorful iGame GeForce RTX 3060 Ultra W OC 12G L-V, Retail",42626,Retail,игровая,,12288 МБ,GDDR6,15000 МГц,192 бит,1320 МГц,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка CUDA, поддержка трассировки лучей",8 pin + 8 pin,7680x4320,4,8 нм,200 Вт,
"Видеокарта GIGABYTE Radeon RX 6400 D6 LOW PROFILE 4G (GV-R64D6-4GL), Retail",11601,Retail,,низкопрофильная карта (Low Profile),4096 МБ,GDDR6,16000 МГц,64 бит,2321 МГц,"выход DisplayPort, выход HDMI",PCI Express 4.0,поддержка HDCP,,7680x4320,2,6 нм,,
