Видеокарта,Цена,комплектация,область применения,объем видеопамяти,тип памяти,шина обмена с памятью,разъемы и интерфейсы,техпроцесс,тип подключения,TDP,разъем дополнительного питания,максимальное разрешение,количество поддерживаемых мониторов,поддержка технологий,особенности,частота памяти,частота видеопроцессора,SLI/NVLink/CrossFire
Видеокарта Ninja GTX1650 NK165DF46F PCIE (896SP) 4G 128BIT GDDR6 (DVI/HDMI/DP) TU117,14690,Retail,,,GDDR6,,выход DisplayPort,,,,,7680x4320,,,,,,
"Видеокарта Palit GeForce RTX 3050 Dual OC 8Gb, NE63050T19P1-190AD, Retail",31020,Retail,игровая,8192 МБ,GDDR6,128 бит,"выход DisplayPort x 3, выход HDMI",8 нм,PCI Express 4.0,140 Вт,8 pin,7680x4320,4,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей","Low Hash Rate, необходимость дополнительного питания",14000 МГц,1822 МГц,
"Видеокарта MSI GeForce GT 730 4GB (N730K-4GD3/OCV1), Retail",7799,Retail,игровая,4096 МБ,GDDR3,64 бит,"выход DVI, выход HDMI, выход VGA",40 нм,PCI Express 2.0,,,2560x1600,3,"поддержка CUDA, поддержка HDCP",,1600 МГц,1006 МГц,
"Видеокарта INNO3D GEFORCE RTX 4070 Ti X3 OC (N407T3-126XX-186148N), Retail",82700,Retail,игровая,12288 МБ,GDDR6X,192 бит,"выход DisplayPort x 3, выход HDMI",5 нм,PCI Express 4.0,,8 pin + 8 pin,7680x4320,4,"поддержка CUDA, поддержка HDCP, поддержка трассировки лучей",необходимость дополнительного питания,21000 МГц,2310 МГц,
"Видеокарта ZOTAC GeForce GT 730 2GB Zone Edition (ZT-71113-20L), Retail",5539,Retail,игровая,2048 МБ,GDDR3,64 бит,"выход DVI, выход HDMI, выход VGA",40 нм,PCI Express 2.0,23 Вт,,4096x2160,3,,пассивное охлаждение,1600 МГц,902 МГц,
Видеокарта Palit GeForce GTX 1050 Ti 1290Mhz PCI-E 3.0 4096Mb 7000Mhz 128 bit DVI HDMI HDCP StormX,20210,,игровая,4096 МБ,GDDR5,128 бит,"выход DVI, выход HDMI",,PCI Express 3.0,,,,,,,7000 МГц,1290 МГц,
Видеокарта MAXSUN GeForce RTX 3070 8 ГБ 256-bit GDDR6 HDMIx1/DPx3 (RTX3070 iCraft OC 8G T0C),57885,,,8192 МБ,GDDR6,256 бит,выход HDMI,,PCI Express 4.0,,,,,,,,1500 МГц,
"Видеокарта Palit NVIDIA CMP 30HX 6GB (NE630HX017J9-1160X), Bulk",18821,Bulk,,6144 МБ,GDDR6,192 бит,,12 нм,PCI Express 3.0,125 Вт,8 pin,,не поддерживается,"поддержка CUDA, поддержка Vulkan",необходимость дополнительного питания,14000 МГц,1785 МГц,
"Видеокарта GIGABYTE GeForce GT 1030 Low Profile D4 2G (GV-N1030D4-2GL), Retail",8245,Retail,игровая,2048 МБ,GDDR4,64 бит,"выход DVI, выход HDMI, PCI-E",14 нм,PCI Express 3.0,,,4096x2160,2,,,2100 МГц,1151 МГц,
Видеокарта 6 Gb Asus GeForce GTX1660 Ti TUF Gaming EVO O6G (TUF-GTX1660TI-O6G-EVO-GAMING),28800,Retail,игровая,6144 МБ,GDDR5,192 бит,выход DisplayPort,12 нм,PCI Express 3.0,,8 pin,7680x4320,4,,,,1500 МГц,
"Видеокарта ASUS ROG Strix Radeon RX 6700 XT Gaming 12GB (ROG-STRIX-RX6700XT-O12G-GAMING), Retail",60800,Retail,,12288 МБ,GDDR6,192 бит,"выход DisplayPort, выход DisplayPort x 3, выход HDMI, интерфейс USB Type-C, PCI-E",7 нм,PCI Express 4.0,230 Вт,8 pin + 8 pin,7680x4320,4,,,16000 МГц,2548 МГц,
"Видеокарта Matrox M9120 PCI-E 512Mb 128 bit 2xDVI, Retail",23985,Retail,игровая,512 МБ,GDDR2,128 бит,выход DVI x 2,,,,,2048x1536,2,,,,,
Видеокарта FirePro V5700 (V5700),10490,,профессиональная,,,,,,PCI-E 16x,,,,,,,,,
Видеокарта Gigabyte RTX4090 AERO OC 24GB GDDR6X 384-bit HDMI 3xDP RTL,182052,"Видеокарта, диск с ПО (опция), инструкция, кабель-переходник питания, кронштейн",игровая,,GDDR6X,384 бит,"выход DisplayPort x 3, выход HDMI",4 нм,PCI Express 4.0,,16 pin,7680x4320,4,,,21000 МГц,2535 МГц,
"Видеокарта GIGABYTE GeForce RTX 4070 EAGLE OC 12G (GV-N4070EAGLE OC-12GD), Retail",73646,Retail,игровая,12288 МБ,GDDR6X,192 бит,"выход DisplayPort x 3, выход HDMI",,PCI Express 4.0,,8 pin,7680x4320,4,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",необходимость дополнительного питания,21000 МГц,2505 МГц,
Видеокарта Palit PCI-E PA-GT1030 2GD4 nVidia GeForce GT 1030 2048Mb 64bit DDR4 1151/2100 DVIx1/HDMIx1/HDCP (ОЕМ),5490,,игровая,2048 МБ,GDDR4,64 бит,"выход DVI, выход HDMI",,,,,4096x2160,2,,,,,
Видеокарта 4.0 Гб HIS Radeon RX 580 IceQ X2 [HS-580R4LC],8900,OEM,,4096 МБ,GDDR5,256 бит,выход DisplayPort x 3,,PCI Express 3.0,,8 pin,5120x2880,5,,,,,
Видеокарта ASUS DUAL-RTX2060-O12G-EVO,34600,Retail,игровая,12288 МБ,GDDR6,192 бит,"выход DVI, выход HDMI",12 нм,PCI Express 3.0,160 Вт,8 pin,4096x2160,4,поддержка CUDA,необходимость дополнительного питания,14000 МГц,1365 МГц,
Видеокарты GIGABYTE Видеокарта Gigabyte PCI-E 4.0 GV-N3070EAGLE-8GD 2.0 LHR NVIDIA GeForce RTX 3070 8192Mb 256 GDDR6 1725/14000 HDMIx2 DPx2 HDCP Ret,54678,,игровая,8192 МБ,GDDR6,256 бит,"выход DisplayPort x 2, выход HDMI x 2",8 нм,PCI Express 4.0,240 Вт,8 pin + 6 pin,7680x4320,4,,,,,
"Видеокарта EVGA GeForce RTX 3090 Ti FTW3 Black Gaming 24GB (24G-P5-4981-KR), Retail",179990,Retail,игровая,24576 МБ,GDDR6X,384 бит,"выход DisplayPort x 3, выход HDMI",,PCI Express 4.0,450 Вт,16 pin,7680x4320,4,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",необходимость дополнительного питания,21000 МГц,1860 МГц,поддержка NVLink
Видеокарта Gigabyte RTX4080 AORUS XTREME WATERFORCE WB 16GB GDDR6X 256bit HDMI 3xDP RTL 5 (311858),146099,,,,GDDR6X,,выход HDMI,,,,,,,,,,,
"Видеокарта Sapphire PULSE Radeon RX 6800 Gaming 16 GB (11305-02-20G), Retail",55300,Retail,игровая,16384 МБ,GDDR6,256 бит,"выход DisplayPort x 3, выход HDMI, интерфейс USB Type-C",7 нм,PCI Express 4.0,280 Вт,8 pin + 8 pin,7680x4320,4,,,16000 МГц,1950 МГц,
"Видеокарта GIGABYTE GeForce RTX 4070 Ti WINDFORCE OC 12G (GV-N407TWF3OC-12GD), Retail",87749,Retail,игровая,12288 МБ,GDDR6X,192 бит,"выход DisplayPort x 3, выход HDMI",4 нм,PCI Express 4.0,,16 pin,7680x4320,4,"поддержка CUDA, поддержка HDCP",необходимость дополнительного питания,21000 МГц,2625 МГц,
Видеокарта ZOTAC GAMING GeForce RTX 3050 AMP 8GB GDDR6 (ZT-A30500F-10M),28718,Retail,игровая,8192 МБ,GDDR6,128 бит,"выход DisplayPort x 3, выход HDMI",8 нм,PCI Express 4.0,,,7680x4320,3,,,14000 МГц,1830 МГц,
Видеокарта ZOTAC GeForce RTX 2060 SUPER 8 ГБ God Of War KyberPunk Call Of Duty RDR 2 Evil West,21790,,игровая,8192 МБ,GDDR6,192 бит,,12 нм,PCI Express 3.0,,,7680x4320,,,,,,
Видеокарта ASUS TUF Gaming GeForce RTX 3070 Ti OC Edition 8GB (TUF-RTX3070TI-O8G-V2-GAMING),68990,Retail,игровая,8192 МБ,GDDR6X,256 бит,"выход DisplayPort x 3, выход HDMI, выход HDMI x 2",8 нм,PCI Express 4.0,,,7680x4320,4,,,19000 МГц,1785 МГц,
"Видеокарта INNO3D GeForce GTX 1060 1506MHz PCI-E 3.0 6144MB 8000MHz 192 bit DVI HDMI DisplayPort HDCP Compact, Retail",10284,Retail,игровая,6144 МБ,GDDR5,192 бит,"выход DVI, выход DisplayPort, выход HDMI",16 нм,PCI Express 3.0,,6 pin,7680x4320,3,,,8000 МГц,1506 МГц,
"Видеокарта Palit GeForce GTX 1050 Ti StormX 4GB (NE5105T018G1-1076F), Retail",16860,Retail,игровая,4096 МБ,GDDR5,128 бит,"выход DVI, выход DisplayPort, выход HDMI, PCI-E",14 нм,PCI Express 3.0,75 Вт,,4096x2160,3,,,7000 МГц,1290 МГц,
"Видеокарта AFOX GeForce GTX 750 2GB (AF750-2048D5L4-V2), Retail",7690,Retail,игровая,2048 МБ,GDDR5,128 бит,"выход DVI, выход HDMI, выход VGA",28 нм,PCI Express 3.0,,,4096x2160,3,,,5000 МГц,1020 МГц,
