Видеокарта,Цена,комплектация,область применения,объем видеопамяти,тип памяти,шина обмена с памятью,разъемы и интерфейсы,техпроцесс,тип подключения,TDP,разъем дополнительного питания,максимальное разрешение,количество поддерживаемых мониторов,поддержка технологий,особенности,частота памяти,частота видеопроцессора,SLI/NVLink/CrossFire
"Видеокарта INNO3D GeForce RTX 3060 Ti TWIN X2 OC LHR 8Gb (N306T2-08D6X-119032DH), Retail",42833,Retail,игровая,8192 МБ,GDDR6,256 бит,"выход DisplayPort x 3, выход HDMI",8 нм,PCI Express 4.0,240 Вт,8 pin,7680x4320,4,,,14000 МГц,1680 МГц,
"Видеокарта AFOX GeForce GT 710 1GB (AF710-1024D3L5-V3), Retail",3490,Retail,,1024 МБ,GDDR3,64 бит,,,PCI Express 2.0,,,4096x2160,2,,,,954 МГц,
Видеокарта Gigabyte Radeon HD 5770 1Gb,3500,,,1024 МБ,GDDR5,,выход HDMI,40 нм,,,,2560x1600,3,,,4800 МГц,850 МГц,
"Видеокарта ASUS GeForce RTX 2060 Dual EVO 12Gb, Retail",65080,Retail,игровая,12288 МБ,GDDR6,192 бит,"выход DVI, выход DisplayPort, выход HDMI x 2",12 нм,PCI Express 3.0,,8 pin,7680x4320,4,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",,14000 МГц,1680 МГц,
Видеокарта Sapphire VAPOR-X radeon hd 5770 1GB DDR5,3750,,,1024 МБ,GDDR5,128 бит,выход DisplayPort,40 нм,,,6 pin,2560x1600,,,,,,
Видеокарта Sapphire RX7900XTX GAMING OC 24GB GDDR6 HDMIx2 DPx2 LITE,114685,,игровая,24576 МБ,GDDR6,384 бит,"выход DisplayPort x 2, выход HDMI x 2",5 нм,PCI Express 4.0,,8 pin+8 pin+8 pin,7680x4320,4,,,,2330 МГц,
"Видеокарта GIGABYTE GeForce GTX 1650 D6 4G (rev. 1.0) (GV-N1656D6-4GD), Retail",17565,Retail,игровая,4096 МБ,GDDR6,128 бит,выход DVI,12 нм,PCI Express 3.0,,,,3,,,,,
"Видеокарта GIGABYTE GeForce RTX 3070 EAGLE 8G (GV-N3070EAGLE-8GD rev. 1.0), Retail",55395,Retail,игровая,8192 МБ,GDDR6,256 бит,"выход DisplayPort x 2, выход HDMI x 2, интерфейс USB Type-C",8 нм,PCI Express 4.0,220 Вт,8 pin + 6 pin,7680x4320,4,,,14000 МГц,1725 МГц,
"Видеокарта INNO3D GeForce RTX 2060 SUPER TWIN X2 OC 8GB (N206S2-08D6X-1710VA15L), Retail",27490,Retail,игровая,8192 МБ,GDDR6,256 бит,"выход DisplayPort x 3, выход HDMI",12 нм,PCI Express 3.0,,8 pin,7680x4320,4,поддержка CUDA,,14000 МГц,1665 МГц,
Видеокарта Radeon HD 6870 1Gb,3990,,,1024 МБ,GDDR5,,выход Mini DisplayPort x 2,,,,,,,,,4480 МГц,920 МГц,
Видеокарта Gigabyte A310 WINDFORCE 4GB (311230),13193,,профессиональная,4096 МБ,GDDR6,64 бит,"выход DisplayPort x 2, выход HDMI x 2",6 нм,,,,7680x4320,4,поддержка трассировки лучей,,15500 МГц,2000 МГц,
"Видеокарта MSI GeForce RTX 3050 GAMING 8G, Retail",39334,Retail,игровая,8192 МБ,GDDR6,128 бит,"выход DisplayPort x 3, выход HDMI",,PCI Express 4.0,130 Вт,8 pin,7680x4320,4,"поддержка CUDA, поддержка HDCP, поддержка трассировки лучей",необходимость дополнительного питания,14000 МГц,,
Видеокарта Sapphire 8 ГБ (RX 6600 8GB),27637,,игровая,8192 МБ,GDDR6,,,,,,8 pin,,,,,,,
Видеокарта Gigabyte INTEL ARC A310 4096Mb 64 GDDR6 Ret (GV-IA310WF2-4GD),19206,,,,GDDR6,64 бит,,,,,,,,,,,,
"Видеокарта PNY RTX3060 12GB VERTO Dual Fan GDDR6 192bit 1x HDMI, 3x DisplayPort, PCIE4.0, LHR, RTL (VCG306012DFBPB1) (453541)",40808,,игровая,12288 МБ,GDDR6,192 бит,"выход DisplayPort x 3, выход HDMI",8 нм,PCI Express 4.0,,8 pin,7680x4320,4,поддержка CUDA,,15000 МГц,,
"Видеокарта Colorful RTX 4070 Ti Advanced OC-V, Retail",95038,Retail,игровая,12288 МБ,GDDR6X,192 бит,"выход DisplayPort x 3, выход HDMI",4 нм,PCI Express 4.0,310 Вт,16 pin,7680x4320,4,"поддержка CUDA, поддержка HDCP",необходимость дополнительного питания,21000 МГц,2760 МГц,
"Видеокарта Afox GT610 2GB DDR3 64BIT, LP Single fan (AF610-2048D3L7-V6)",3709,Retail,игровая,2048 МБ,GDDR3,64 бит,"выход DVI, выход HDMI, выход VGA",40 нм,PCI Express 3.0,29 Вт,,2560x1600,3,"поддержка CUDA, поддержка HDCP",низкопрофильная карта (Low Profile),1333 МГц,810 МГц,
Видеокарта MSI PCI-E nVidia GeForce RTX 3060TI 8Gb GAMING Z TRIO LHR RTL (RTX 3060 TI GAMING Z TRIO 8G LHR),67152,,игровая,8192 МБ,GDDR6,256,PCI-E 4.0,,,,,,,,,,1845 МГц,
Видеокарта MSI Radeon RX 6500XT 4Gb (602-V508-05S),19158,,,,GDDR6,64 бит,,,,,,,,,,,,
Видеокарта Jieshuo Radeon RX580 / 8GB GDDR5 / 256bit GPU / Gaming / Игровая,14850,Retail,игровая,8192 МБ,GDDR5,256 бит,"выход DisplayPort x 3, выход HDMI x 2",14 нм,PCI Express 3.0,,8 pin,4096x2160,,,,,1284 МГц,
Видеокарта 8Gb PCI-E RADEON RX 580 GDDR5 GIGABYTE GV-RX580GAMING-8GD Rev2.0 HDMI+3xDP,12400,,,8192 МБ,GDDR5,,выход HDMI,,,,,,,,,,,
Видеокарта PowerColor AMD Radeon RX 6400 ITX (AXRX 6400 4GBD6-DH),18435,,игровая,4096 МБ,GDDR6,64 бит,"выход DisplayPort, выход HDMI",6 нм,PCI Express 4.0,,,7680x4320,2,,,16000 МГц,1923 МГц,
"Видеокарта NVIDIA GeForce RTX 4090 24Gb, Retail",245700,Retail,игровая,24576 МБ,GDDR6X,384 бит,"выход DisplayPort x 3, выход HDMI",,PCI Express 4.0,450 Вт,16 pin,7680x4320,4,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",необходимость дополнительного питания,21000 МГц,2520 МГц,
"Видеокарта MSI GeForce RTX 3060 VENTUS 3X 12G, Retail",39990,Retail,игровая,12288 МБ,GDDR6,192 бит,"выход DisplayPort x 3, выход HDMI",8 нм,PCI Express 4.0,170 Вт,8 pin,7680x4320,4,,,15000 МГц,1777 МГц,
Видеокарта PCIE16 QUADRO RTX4000 8GB 900-5G160-2550-000 NVIDIA,130043,,профессиональная,8192 МБ,GDDR6,256 бит,"выход DisplayPort x 3, выход HDMI, интерфейс USB Type-C",12 нм,PCI Express 3.0,,,7680x4320,,поддержка трассировки лучей,,13000 МГц,1215 МГц,
Видеокарта 8 Gb Gigabyte GeForce RTX3070 EAGLE (GV-N3070EAGLE-8GD 2.0),58353,,игровая,8192 МБ,GDDR6,256 бит,"выход DisplayPort x 2, выход HDMI x 2",8 нм,PCI Express 4.0,,8 pin + 6 pin,7680x4320,4,,,14000 МГц,1725 МГц,
Видеокарта Gigabyte RTX4080 AERO 16GB GDDR6X 256bit HDMI 3xDP RTL (311513),134086,,игровая,,GDDR6X,256 бит,"выход DisplayPort, выход HDMI",,PCI Express 4.0,,,7680x4320,4,,,22400 МГц,2210 МГц,
"Видеокарта Sapphire NITRO+ Radeon RX 6900 XT 16GB (11308-01-20G), Retail",150578,Retail,игровая,16384 МБ,GDDR6,256 бит,"выход DisplayPort x 3, выход HDMI",7 нм,PCI Express 4.0,340 Вт,8 pin + 8 pin,7680x4320,4,"поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",необходимость дополнительного питания,16000 МГц,1875 МГц,
Видеокарта Palit RTX4070Ti GAMINGPRO OC 12GB GDDR6X 192bit 3-DP HDMI RTL9,91168,Retail,игровая,12000 МБ,GDDR6X,192 бит,"выход DisplayPort, выход HDMI",,PCI Express 4.0,285 Вт,16 pin,7680x4320,4,NVIDIA CUDA,,21000 МГц,2310 МГц,
Видеокарта Palit GeForce GT 440 780Mhz PCI-E 2.0 1024Mb 1600Mhz 128 bit DVI HDMI HDCP,2990,,,1024 МБ,GDDR3,128 бит,выход HDMI,40 нм,,,,2560x1600,2,,,1600 МГц,780 МГц,
Palit RTX3050 DUAL 8GB GDDR6 128bit DVI HDMI DP (243703) NE63050018P1-1070D,26724,,,,GDDR6,128 бит,,,,,,,,,,,,
Видеокарты ASUS Видеокарта Asus PCI-E GT730-2GD3-BRK-EVO NVIDIA GeForce GT 730 2048Mb 64 DDR3 902/1800 DVIx1 HDMIx1 CRTx1 HDCP Ret,13583,,,2048 МБ,DDR3,,выход HDMI,,,,,,,,,,902 МГц,
Видеокарта COLORFUL RTX 3060 TI 8ГБ (GeForce RTX 3060 Ti 8ГБ DUO V2 LHR) RTL,39950,Retail,игровая,8192 МБ,GDDR6,256 бит,"выход DisplayPort x 3, выход HDMI",8 нм,PCI Express 4.0,200 Вт,8 pin,7680x4320,4,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",Low Hash Rate,19000 МГц,1410 МГц,
"Видеокарта ASUS Phoenix GeForce GTX 1660 SUPER OC 6GB, PH-GTX1660S-O6G, Retail",22222,Retail,игровая,6144 МБ,GDDR6,192 бит,"выход DVI, выход DisplayPort, выход HDMI, DVI-D, PCI-E",12 нм,PCI Express 3.0,125 Вт,8 pin,7680x4320,3,"поддержка CUDA, поддержка HDCP, поддержка Vulkan",необходимость дополнительного питания,14002 МГц,1530 МГц,
Видеокарта Palit GeForce® GT 520 1GB DDR3,3375,,,1024 МБ,DDR3,,выход HDMI,,,,,,,,,1070 МГц,,
"Видеокарта PowerColor Fighter Radeon RX 6500 XT 4GB, AXRX 6500 XT 4GBD6-DH/OC, Retail",17590,Retail,игровая,4096 МБ,GDDR6,64 бит,"выход DisplayPort, выход HDMI",6 нм,PCI Express 4.0,,6 pin,7680x4320,2,"поддержка HDCP, поддержка Vulkan",необходимость дополнительного питания,18000 МГц,2365 МГц,
"Видеокарта MSI GeForce GT 1030 2GD4 LP OC, Retail",8791,Retail,игровая,2048 МБ,GDDR4,64 бит,"выход DisplayPort, выход HDMI",14 нм,PCI Express 3.0,20 Вт,,4096x2160,2,,,2100 МГц,1189 МГц,
"Видеокарта Sinotex Ninja GeForce GTX 750 4GB (NH75NP045F), Retail",8773,Retail,игровая,4096 МБ,GDDR5,128 бит,"выход DVI, выход HDMI",28 нм,PCI Express 3.0,55 Вт,,2560x1600,3,"поддержка CUDA, поддержка HDCP",,5000 МГц,1072 МГц,
"Видеокарта INNO3D GEFORCE RTX 3060 Ti TWIN X2 OC 8GB (N306T2-08D6X-1190VA32D), Retail",51790,Retail,игровая,8192 МБ,GDDR6,256 бит,"выход DisplayPort x 3, выход HDMI",8 нм,PCI Express 4.0,,8 pin,7680x4320,4,,,,1680 МГц,
Видеокарта GigaByte nVidia GeForce RTX 3060 VISION OC rev. 2.0 LHR PCI-E 12288Mb GDDR6 192 Bit Retail (GV-N3060VISION OC-12GD 2),40841,,игровая,12288 МБ,GDDR6,192 бит,выход DisplayPort x 2,8 нм,PCI Express 4.0,,,7680x4320,,поддержка трассировки лучей,Low Hash Rate,15000 МГц,1837 МГц,
Б/у PCI-E 2Gb GeForce Gt610 Asus GT610-SL-2GD3-L,3113,,,,,,,,,,,,,,,,,
Видеокарта GIGABYTE GeForce GT 430 730Mhz PCI-E 2.0 1024Mb 1800Mhz 128 bit DVI HDMI,1900,,,1024 МБ,GDDR3,,выход HDMI,,,,,2560x1600,,,,1800 МГц,730 МГц,
"Видеокарта ZOTAC GAMING GeForce RTX 3060 Twin Edge OC 12GB (ZT-A30600H-10M), Retail",58576,Retail,игровая,12288 МБ,GDDR6,192 бит,"выход DisplayPort x 3, выход HDMI",8 нм,PCI Express 4.0,170 Вт,8 pin,7680x4320,4,,,15000 МГц,1807 МГц,
"Видеокарта MSI GeForce RTX 3060 12 ГБ (3060 GAMING X 12G LHR), rev. 2.0 (LHR)",39118,,игровая,12288 МБ,GDDR6,192 бит,"выход DisplayPort, выход HDMI",8 нм,PCI Express 4.0,,8 pin + 6 pin,7680x4320,4,,,15000 МГц,,
"Видеокарта GIGABYTE GeForce GTX 1650 D6 WINDFORCE OC 4G (rev. 2.0), Retail",24489,Retail,игровая,4096 МБ,GDDR6,128 бит,"выход DVI, выход DisplayPort, выход HDMI",12 нм,PCI Express 3.0,,6 pin,7680x4320,3,,,12000 МГц,1650 МГц,
Видеокарта ASRock RX7900XTX Phantom Gaming 24G OC,112549,,игровая,24000 МБ,GDDR6,384 бит,"выход DisplayPort x 3, выход HDMI",,PCI Express 4.0,,,7680x4320,4,,,,2455 МГц,
"Видеокарта GIGABYTE AORUS GeForce RTX 3080 MASTER 10G (GV-N3080AORUS M-10GD) (rev. 3.0), Retail",84990,Retail,игровая,10240 МБ,GDDR6X,320 бит,"выход DisplayPort x 3, выход HDMI x 3, интерфейс USB Type-C",8 нм,PCI Express 4.0,,8 pin+8 pin+8 pin,7680x4320,4,поддержка CUDA,Low Hash Rate,19000 МГц,1845 МГц,
Видеокарта ASUS ROG-STRIX-RTX3070-8G-WHITE-V2,59500,,,,,,,,,,,,,,,,,
"Видеокарта Colorful iGame GeForce RTX 3080 Advanced OC 12G LHR-V, Retail",75783,Retail,игровая,12288 МБ,GDDR6X,320 бит,"выход DisplayPort x 3, выход HDMI",8 нм,PCI Express 4.0,390 Вт,8 pin+8 pin+8 pin,7680x4320,4,"поддержка CUDA, поддержка трассировки лучей",необходимость дополнительного питания,19000 МГц,1260 МГц,
Б/у Видеокарта PCI-E 2Gb ATI Radeon HD6670 Asus HD6670-2GD3,4363,,,2048 МБ,GDDR3,,выход VGA,,,,,,,,,,,
"Б/у AGP 128Mb Fx6600 Palit NA/6600G+TD11-PM8343G, дефектная",613₽,,,128 МБ,,,,,,,,,,,,,,
"Видеокарта MSI GeForce RTX 3050 AERO ITX 8G OC, Retail",26600,Retail,игровая,8192 МБ,GDDR6,128 бит,"выход DisplayPort x 3, выход HDMI",8 нм,PCI Express 4.0,130 Вт,8 pin,7680x4320,4,"поддержка CUDA, поддержка HDCP, поддержка трассировки лучей",необходимость дополнительного питания,14000 МГц,1807 МГц,
Видеокарта Geforce RTX 3070 ti Zotac 8G6X,57499,,игровая,,GDDR6X,256 бит,,,PCI Express 4.0,,,,4,,,,,
Видеокарта Radeon HD 4850 512Mb,2030,,,,GDDR3,,выход DVI x 2,,,,,,,,,2000 МГц,625 МГц,
Manli GeForce RTX 2060 SUPER (Видеопамять GeForce RTX 2060 SUPER 8 ГБ Samsung),23999,,игровая,8192 МБ,GDDR6,,"выход DVI, выход HDMI",,PCI Express 4.0,,8 pin,7680x4320,4,,,14000 МГц,1665 МГц,
"Видеокарта KFA2 GeForce GTX 1660 (60SRH7DSY91K), Retail",22116,Retail,игровая,6144 МБ,GDDR5,192 бит,"выход DVI, выход DisplayPort, выход HDMI",12 нм,PCI Express 3.0,120 Вт,6 pin,7680x4320,3,"поддержка CUDA, поддержка HDCP, поддержка Vulkan",необходимость дополнительного питания,8000 МГц,1800 МГц,
Видеокарта GIGABYTE PCIE16 RX6700XT 12GB GDDR6 GV-R67XTEAGLE-12GD,47840,,,12000 МБ,GDDR6,192 бит,"выход DisplayPort x 2, выход HDMI x 2",7 нм,PCI Express 4.0,,8 pin + 6 pin,7680x4320,4,,,16000 МГц,2321 МГц,
Видеокарта HP Quadro NVS 450 480Mhz PCI-E 2.0 512Mb 1400Mhz 128 bit,16480,,профессиональная,512 МБ,GDDR3,128 бит,выход DisplayPort x 4,65 нм,PCI Express 2.0,,,2560x1600,4,,,1400 МГц,480 МГц,
Видеокарта PCIE16 RTX3060 12GB LHR PA-RTX3060 DUAL OC PALIT,34990,,игровая,12288 МБ,GDDR6,192 бит,,8 нм,PCI Express 4.0,,16 pin,7680x4320,4,,,,1320 МГц,
"Видеокарта ASUS GeForce GT 730 2GB (GT730-SL-2GD3-BRK), Retail",8209,Retail,,2048 МБ,GDDR3,64 бит,"выход DVI, выход HDMI, выход VGA",28 нм,PCI Express 2.0,,,4096x2160,3,,,1800 МГц,902 МГц,
"Видеокарта Gigabyte GT 1030 OC 2G,",10086,Retail,игровая,2000 МБ,GDDR5,64 бит,"выход HDMI, PCI-E",16 нм,PCI Express 3.0,30 Вт,Нет,3840x2160 4K UHD,2,NVIDIA CUDA,,6008 МГц,1265 МГц,
Lenovo Видеокарта NVIDIA Lenovo Gaming GeForce RTX 2080 8gb Blower Graphics Card GPU Reference cooling OEM,48750,,игровая,8192 МБ,GDDR6,256 бит,,12 нм,PCI Express 3.0,,,,4,,,14000 МГц,1785 МГц,
Видеокарта Manli NVIDIA RTX 3070 8G M2479-N61,59990,,игровая,8000 МБ,GDDR6,256 бит,выход HDMI,8 нм,PCI Express 4.0,220 Вт,,,,,,,,
Видеокарта Gainward RTX3060 GHOST OC 12GB GDDR6 192bit 3-DP HDMI RTL,33374,,,12288 МБ,GDDR6,192 бит,,,,,,,,,,,,
Видеокарта для dell 6400 E1505 ноутбук 109-A74231-00 WF148 0WF148,2525,,,,GDDR2,32 бит,,,,,,,,,,,,
"Видеокарта Sinotex Ninja GTX 750 2GB (NK75NP025F), Retail",7690,Retail,,2048 МБ,GDDR5,128 бит,"выход DVI, выход HDMI",28 нм,PCI Express 3.0,,,2560x1600,3,,,5000 МГц,1020 МГц,
"Видеокарта GIGABYTE AORUS GeForce RTX 4080 16GB XTREME WATERFORCE (GV-N4080AORUSX W-16GD), Retail",126690,Retail,игровая,16384 МБ,GDDR6X,256 бит,"выход DisplayPort x 3, выход HDMI",5 нм,PCI Express 4.0,,16 pin,7680x4320,4,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",необходимость дополнительного питания,22400 МГц,2565 МГц,
"Видеокарта PowerColor Hellhound Sakura Radeon RX 6650 XT 8GB (AXRX 6650 XT 8GBD6-3DHLV3/OC), Retail",41880,Retail,,8192 МБ,GDDR6,128 бит,"выход DisplayPort x 3, выход HDMI",,PCI Express 4.0,,8 pin,7680x4320,4,"поддержка HDCP, поддержка Vulkan",необходимость дополнительного питания,17500 МГц,2689 МГц,
Видеокарты ASUS Видеокарта Asus PCI-E GTX1650-4G-LP-BRK NVIDIA GeForce GTX 1650 4096Mb 128 GDDR5 1485/8002 DVIx1 HDMIx1 DPx1 HDCP Ret,28295,,,4096 МБ,GDDR5,128 бит,выход HDMI,12 нм,PCI Express 3.0,,,,,,,,1485 МГц,
"Видеокарта PNY Quadro P2000 5GB (VCQP2000), Retail",47988,Retail,профессиональная,5120 МБ,GDDR5,160 бит,"выход DisplayPort, выход DisplayPort x 4",16 нм,PCI Express 3.0,75 Вт,,5120x2880,4,"поддержка CUDA, поддержка HDCP, поддержка Vulkan",,,,
Видеокарта Palit GTX1650 GP OC 4GB GDDR6 128bit 2-DP HDMI,18900,Retail,игровая,4096 МБ,GDDR6,128 бит,"выход DisplayPort, выход DisplayPort x 2, выход HDMI",12 нм,PCI Express 3.0,75 Вт,6 pin,,3,,,12000 МГц,1410 МГц,
Видеокарта Gigabyte RTX3060Ti EAGLE OC D6X 8GB GDDR6X 256-bit,50329,,игровая,,GDDR6X,256 бит,"выход DisplayPort, выход HDMI",8 нм,PCI Express 4.0,,,7680x4320,4,,,19000 МГц,1680 МГц,
HP FirePro V3800 650Mhz PCI-E 2.0 512Mb 1800Mhz 64 bit DVI,10990,,профессиональная,512 МБ,,64 бит,выход DVI,,PCI Express 2.0,,,,,,,1800 МГц,650 МГц,
Видеокарта GTX 260 896mb GDDR3/448,2499,,,,GDDR3,,,,,,,,,,,,,
"Видеокарта Gainward GeForce GTX 750 1020Mhz PCI-E 3.0 2048Mb 5010Mhz 128 bit DVI Mini-HDMI HDCP one slot, Retail",6542,Retail,,2048 МБ,GDDR5,128 бит,"выход DVI, выход Mini HDMI, выход VGA",28 нм,,55 Вт,,4096x2160,2,,,5010 МГц,1020 МГц,
Видеокарта RX570 8GB GDDR5 256BIT HDMI 3xDP,17154,,,8192 МБ,GDDR5,,выход HDMI,,,,,3840x2160 4K UHD,,,,,,
"Видеокарта ZOTAC GeForce RTX 4070 Ti TRINITY 12GB (ZT-D40710D-10P), Retail",98549,Retail,игровая,12288 МБ,GDDR6X,192 бит,"выход DisplayPort x 3, выход HDMI",4 нм,PCI Express 4.0,285 Вт,,7680x4320,4,"поддержка CUDA, поддержка Vulkan",,21000 МГц,2610 МГц,
Видеокарта MSI PCI-E GTX 1660 SUPER AERO ITX nVidia GeForce GTX 1660SUPER 6144Mb 192bit GDDR6 1530/14000 DVIx1/HDMIx1/DPx1/HDCP Ret,28080,,,6144 МБ,GDDR6,192 бит,выход HDMI,12 нм,PCI Express 3.0,,,,,,,,,
"Видеокарта INNO3D GEFORCE RTX 3060 ICHILL X3 RED 12GB (C30603-12D6X-1671VA39A), Retail",74000,Retail,игровая,12288 МБ,GDDR6,192 бит,"выход DisplayPort x 3, выход HDMI",8 нм,PCI Express 4.0,,8 pin,7680x4320,4,,,,1725 МГц,
Внешняя видеокарта USB TRENDnet TU2-DVIV,1755,,,,,,,,,,,,,,внешняя видеокарта,,,
"Видеокарта GIGABYTE GeForce RTX 3070 Ti GAMING 8G (GV-N307TGAMING-8GD), Retail",59829,Retail,игровая,8192 МБ,GDDR6X,256 бит,"выход DisplayPort x 2, выход HDMI x 2",8 нм,PCI Express 4.0,,8 pin + 8 pin,7680x4320,4,"поддержка CUDA, поддержка трассировки лучей",,19000 МГц,1770 МГц,
"Видеокарта Colorful GeForce GTX 1650 SUPER NB 4G-V, Retail",20077,Retail,игровая,4096 МБ,GDDR6,128 бит,"выход DVI, выход DisplayPort, выход HDMI",12 нм,PCI Express 3.0,100 Вт,6 pin,7680x4320,3,,,12000 МГц,1530 МГц,
Видеокарта Colorful RTX3060Ti NB DUO G6X-V 8GB GDDR6X 256-bit 3xDP HDMI,45879,,игровая,8192 МБ,GDDR6X,256 бит,"выход DisplayPort x 3, выход HDMI",8 нм,PCI Express 4.0,,,7680x4320,"3, 4",поддержка CUDA,,,,
Видеокарта MSI Intel Arc A750 ASTRO 2X 8GB,30313,Retail,игровая,8192 МБ,GDDR6,256 бит,"выход DisplayPort, выход HDMI",6 нм,PCI Express 4.0,,8 pin + 8 pin,7680x4320,4,,,16000 МГц,2050 МГц,
"Видеокарта GIGABYTE GeForce GTX 1650 D6 WINDFORCE 4G (GV-N1656WF2-4GD), Retail",19300,Retail,игровая,4096 МБ,GDDR6,128 бит,"выход DVI, выход DisplayPort, выход HDMI",12 нм,PCI Express 3.0,75 Вт,6 pin,7680x4320,3,поддержка CUDA,,12000 МГц,1590 МГц,
"Видеокарта ASUS EKWB GeForce RTX 3070 8GB, Retail",83469,Retail,игровая,8192 МБ,GDDR6,256 бит,"выход DisplayPort x 3, выход HDMI, интерфейс USB Type-C",8 нм,PCI Express 4.0,,12 pin,7680x4320,4,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей","водяное охлаждение, необходимость дополнительного питания",,1755 МГц,
"Видеокарта MSI GeForce RTX 3060 Ti VENTUS 3X 8GB, Retail",53927,Retail,игровая,8192 МБ,GDDR6,256 бит,"выход DisplayPort x 3, выход HDMI",8 нм,PCI Express 4.0,200 Вт,8 pin,7680x4320,4,,,14000 МГц,1665 МГц,
Видеокарта USB St-lab U-1500,5210,,,,,,,,,,,,,,внешняя видеокарта,,,
"Видеокарта Palit GeForce RTX 4080 GamingPro 16GB, Retail",100350,Retail,игровая,16384 МБ,GDDR6X,256 бит,"выход DisplayPort x 3, выход HDMI",4 нм,PCI Express 4.0,320 Вт,16 pin,7680x4320,4,"поддержка CUDA, поддержка Vulkan, поддержка трассировки лучей",необходимость дополнительного питания,22400 МГц,2505 МГц,
"Видеокарта AFOX GeForce GT 710 1GB (AF710-1024D3L5), Retail",4226,Retail,,1024 МБ,GDDR3,64 бит,"выход DVI, выход HDMI, выход VGA",28 нм,,19 Вт,,2560x1600,2,,,1600 МГц,954 МГц,
"Видеокарта KFA2 GeForce RTX 3050 EX 8GB (35NSL8MD6YEX), Retail",27000,Retail,игровая,8192 МБ,GDDR6,128 бит,"выход DisplayPort x 3, выход HDMI",8 нм,PCI Express 4.0,130 Вт,8 pin,7680x4320,4,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",необходимость дополнительного питания,14000 МГц,1822 МГц,
Графический ускоритель NVidia Tesla P100 16Gb,420000,Retail,профессиональная,16384 МБ,HBM2,,,,PCI Express 3.0,,8 pin,,,,,,,
Видеокарта MSI PCI-E 4.0 RX 6650 XT GAMING X 8G AMD Radeon RX 6650XT 8192Mb 128 GDDR6 2593/17500 HDMIx1 DPx3 HDCP Ret,42714,,,8192 МБ,GDDR6,,выход HDMI,,,,,,,,,,2593 МГц,
Видеокарта Sapphire Radeon RX 460 1090Mhz PCI-E 3.0 2048Mb,6875,,,2048 МБ,GDDR5,128 бит,выход HDMI,14 нм,,,,7680x4320,3,,,7000 МГц,1090 МГц,поддержка SLI/CrossFire
Видеокарта Gainward GeForce RTX 3070 Ti 8 ГБ (GAINWARD RTX 3070Ti 8G),46400,Retail,игровая,8192 МБ,GDDR6X,256 бит,"выход DisplayPort x 3, выход HDMI",8 нм,PCI Express 4.0,310 Вт,8 pin + 8 pin,7680x4320,4,поддержка CUDA,необходимость дополнительного питания,19000 МГц,1770 МГц,
Видеокарта Asus PCI-E 4.0 DUAL-RTX3060TI-O8GD6X NVIDIA GeForce RTX 3060Ti 8192Mb 256 GDDR6 1710/14000 HDMIx2 DPx3 HDCP Ret,45726,Retail,игровая,8192 МБ,GDDR6X,256 бит,"выход DisplayPort x 3, выход HDMI",8 нм,PCI Express 4.0,,8 pin + 8 pin,7680x4320,4,,,19000 МГц,1710 МГц,
Видеокарта Sapphire Radeon HD 6790 840Mhz PCI-E 2.1 1024Mb 4200Mhz 256 bit 2xDVI HDMI HDCP,5250,,,1024 МБ,GDDR5,256 бит,,,PCI Express 2.1,,,,3,,,,,
Видеокарта Gigabyte RTX4080 GAMING OC 16GB,136612,,игровая,16384 МБ,GDDR6X,256 бит,"выход DisplayPort x 3, выход HDMI",5 нм,PCI Express 4.0,,16 pin,7680x4320,4,,,22400 МГц,2535 МГц,
Видеокарта Palit RTX4090 GameRock OC 24G GDDR6X 2235/21000 HDMIx1 DPx3 HDCP,197063,,игровая,24576 МБ,GDDR6X,,,,,,16 pin,,,,,,,
Видеокарта Colorful RTX3080Ti 12G Tomahawk OC,92000,,,,GDDR6X,,,,,,,,,,,,,
Видеокарта PCIE16 GTX1660TI 6GB GDDR6 GV-N166TOC-6GD 1.0A GIGABYTE,25600,Retail,игровая,6144 МБ,GDDR6,192 бит,"выход DisplayPort x 3, выход HDMI",12 нм,PCI Express 3.0,,8 pin,7680x4320,4,,,12000 МГц,1536 МГц,
"Видеокарта Colorful GeForce GT1030 2G V3-V, Retail",7414,Retail,,2048 МБ,GDDR5,64 бит,"выход HDMI, выход VGA",,PCI Express 3.0,,,,2,,,6000 МГц,1228 МГц,
"Видеокарта PowerColor Radeon RX 6500 XT ITX 4GB (AXRX 6500 XT 4GBD6-DH), Retail",20085,Retail,игровая,4096 МБ,GDDR6,64 бит,"выход DisplayPort, выход HDMI",6 нм,PCI Express 4.0,107 Вт,6 pin,7680x4320,2,"поддержка HDCP, поддержка Vulkan",необходимость дополнительного питания,18000 МГц,2310 МГц,
