Видеокарта,Цена,комплектация,область применения,особенности,объем видеопамяти,тип памяти,частота памяти,шина обмена с памятью,частота видеопроцессора,разъемы и интерфейсы,тип подключения,поддержка технологий,разъем дополнительного питания,максимальное разрешение,количество поддерживаемых мониторов,техпроцесс
Видеокарта ASUS DUAL Radeon RX 5600 XT EVO TOP 6GB,13900,OEM,игровая,необходимость дополнительного питания,6144.0,GDDR6,14000.0,192.0,1615.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,поддержка Vulkan,8 pin,7680x4320,4,7.0
"Видеокарта GIGABYTE AORUS Radeon RX 6750 XT ELITE 12G, GV-R675XTAORUS E-12GD, Retail",44739,Retail,игровая,необходимость дополнительного питания,12288.0,GDDR6,18000.0,192.0,2324.0,"выход DisplayPort x 2, выход HDMI x 2",PCI Express 4.0,"поддержка HDCP, поддержка Vulkan",8 pin + 6 pin,7680x4320,4,7.0
"Видеокарта PowerColor Hellhound Radeon RX 6700XT 12GB (AXRX 6700XT 12GBD6-3DHL), Retail",37445,Retail,игровая,необходимость дополнительного питания,12288.0,GDDR6,16000.0,192.0,2321.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка HDCP, поддержка Vulkan",8 pin + 8 pin,7680x4320,4,7.0
"Видеокарта Palit GeForce RTX 2060 SUPER DUAL 8GB (NE6206S018P2-1160A), Retail",27625,Retail,игровая,нет,8192.0,GDDR6,14000.0,256.0,1470.0,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,"поддержка CUDA, поддержка Vulkan, поддержка трассировки лучей",8 pin,7680x4320,3,12.0
"Видеокарта AFOX GeForce RTX 3060 12GB (AF3060-12GD6H2), Retail",29071,Retail,игровая,нет,12288.0,GDDR6,16000.0,192.0,1320.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка CUDA, поддержка HDCP, поддержка трассировки лучей",8 pin,7680x4320,4,8.0
"Видеокарта KFA2 GeForce GTX 1660 Super 1800MHz PCI-E 3.0 6144MB 14000MHz 192 bit DVI HDMI DisplayPort HDCP 1-Click OC, Retail",19980,Retail,игровая,нет,6144.0,GDDR6,14000.0,192.0,1800.0,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,нет,8 pin,7680x4320,3,12.0
"Видеокарта Asus Rog-strix-rtx4090-24G-gaming /RTX4090, HDMI*2, DP*3,24G, D6X (90YV0ID1-M0NA00)",237100,Retail,игровая,нет,24576.0,GDDR6X,21000.0,384.0,2550.0,"выход DisplayPort, выход DisplayPort x 3, выход HDMI, выход HDMI x 2",PCI Express 4.0,поддержка CUDA,16 pin,7680x4320,4,4.0
"Видеокарта Sinotex Ninja GeForce GT 730 4GB (NK73NP043F), Retail",4449,Retail,игровая,нет,4096.0,GDDR3,1333.0,128.0,700.0,"выход DVI, выход HDMI, выход VGA",PCI Express 3.0,нет,8 pin,2560x1600,2,40.0
"Видеокарта ASUS TUF Gaming GeForce GTX 1660 SUPER OC 6GB (TUF-GTX1660S-O6G-GAMING), Retail",14900,Retail,игровая,необходимость дополнительного питания,6144.0,GDDR6,14002.0,192.0,1815.0,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan",8 pin,7680x4320,3,12.0
"Видеокарта ASUS Phoenix GeForce GTX 1650 SUPER OC 4GB (PH-GTX1650S-O4G), Retail",17390,Retail,игровая,необходимость дополнительного питания,4096.0,GDDR6,12002.0,128.0,1530.0,"выход DVI, выход DisplayPort, выход HDMI, интерфейс USB Type-C",PCI Express 3.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan",6 pin,7680x4320,3,12.0
"Видеокарта GIGABYTE GeForce RTX 3080 Ti GAMING OC 12G (GV-N308TGAMING OC-12GD), Retail",91207,Retail,игровая,нет,12288.0,GDDR6X,19000.0,384.0,1710.0,"выход DisplayPort x 3, выход HDMI, выход HDMI x 2",PCI Express 4.0,"поддержка CUDA, поддержка трассировки лучей",8 pin + 8 pin,7680x4320,4,8.0
"Видеокарта GIGABYTE Radeon RX 6500 XT GAMING OC 4G (GV-R65XTGAMING OC-4GD), Retail",14835,Retail,игровая,необходимость дополнительного питания,4096.0,GDDR6,18000.0,64.0,2685.0,"выход DisplayPort, выход HDMI",PCI Express 4.0,"поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",6 pin,7680x4320,2,6.0
Видеокарта Gigabyte RTX4070 WINDFORCE OC 12GB,72446,Retail,игровая,нет,12288.0,GDDR6X,16000.0,192.0,2490.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка CUDA, поддержка трассировки лучей",16 pin,7680x4320,4,8.0
"Видеокарта ZOTAC GAMING GeForce GTX 1650 AMP Core (ZT-T16520J-10L), Retail",16290,Retail,игровая,нет,4096.0,GDDR6,12000.0,128.0,1650.0,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,нет,6 pin,7680x4320,3,12.0
"Видеокарта AFOX GEFORCE GTX 1660 SUPER 6GB (AF1660S-6144D6H1-V2), Retail",19267,Retail,игровая,нет,6144.0,GDDR6,14000.0,192.0,1785.0,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,нет,8 pin,7680x4320,2,12.0
"Видеокарта GIGABYTE GeForce GTX 1070 1582MHz PCI-E 3.0 8192MB 8008MHz 256 bit DVI HDMI HDCP WINDFORCE OC rev. 1.0, Retail",15990,Retail,игровая,нет,8192.0,GDDR5,8008.0,256.0,1582.0,"выход DVI, выход DisplayPort x 3, выход HDMI",PCI Express 3.0,нет,8 pin,7680x4320,4,16.0
"Видеокарта ASUS Dual Radeon RX 6400 4Gb (DUAL-RX6400-4G), Retail",14663,Retail,игровая,нет,4096.0,GDDR6,16000.0,64.0,2321.0,"выход DisplayPort, выход HDMI",PCI Express 4.0,поддержка HDCP,8 pin,7680x4320,2,12.0
"Видеокарта NVIDIA Quadro RTX 8000 48GB, OEM",489000,OEM,профессиональная,"необходимость дополнительного питания, пассивное охлаждение",49152.0,GDDR6,14000.0,384.0,1230.0,"выход DisplayPort, выход DisplayPort x 4",PCI Express 3.0,"поддержка CUDA, поддержка Vulkan, поддержка трассировки лучей",8 pin,7680x4320,2,12.0
Видеокарта PELADN GeForce RTX 3060 Ti,33000,Retail,игровая,нет,8192.0,GDDR6,14000.0,256.0,1665.0,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 4.0,нет,8 pin,7680x4320,4,8.0
Asus HD6850,2740,Retail,игровая,нет,1024.0,GDDR5,4000.0,256.0,790.0,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,нет,8 pin,4096x2160,2,40.0
"Видеокарта MSI GeForce GTX 1650 (D6 VENTUS XS OCV1 4GB), Retail",16692,Retail,игровая,нет,4096.0,GDDR6,12000.0,128.0,1620.0,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,поддержка CUDA,6 pin,7680x4320,3,12.0
"Видеокарта Palit GeForce RTX 3060 Dual OC 12 GB (NE63060T19K9-190AD), Retail",34188,Retail,игровая,нет,12288.0,GDDR6,16000.0,192.0,1837.0,"выход DisplayPort, выход DisplayPort x 3, выход HDMI, интерфейс USB Type-C",PCI Express 4.0,нет,8 pin,7680x4320,4,8.0
"Видеокарта GIGABYTE GeForce RTX 4070 Ti EAGLE OC 12GB (GV-N407TEAGLE OC-12GD), Retail",90118,Retail,игровая,необходимость дополнительного питания,12288.0,GDDR6X,21000.0,192.0,2625.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",16 pin,7680x4320,4,4.0
"Видеокарта Palit GeForce RTX 3050 Dual 8Gb, NE63050019P1-190AD, Retail",19999,Retail,игровая,"Low Hash Rate, необходимость дополнительного питания",8192.0,GDDR6,14000.0,128.0,1552.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",8 pin,7680x4320,4,8.0
4gb geforce gt 730 4gb d3 kfa2,5410,OEM,игровая,нет,4096.0,GDDR3,8000.0,128.0,1410.0,выход VGA,PCI Express 3.0,нет,8 pin,4096x2160,2,12.0
Видеокарта Leadtek GeForce GTX 460 800Mhz PCI-E 2.0 1024Mb 4000Mhz 256 bit,2691,Retail,игровая,нет,1024.0,GDDR5,4000.0,256.0,800.0,выход DVI x 2,PCI Express 2.0,нет,8 pin,2560x1600,2,40.0
"Видеокарта ASUS GeForce RTX 3070 DUAL V2 OC 8GB, DUAL-RTX3070-O8G-V2, Retail",55043,Retail,игровая,необходимость дополнительного питания,8192.0,GDDR6,14000.0,256.0,1770.0,"выход DisplayPort x 3, выход HDMI, выход HDMI x 2, интерфейс USB Type-C",PCI Express 4.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",8 pin + 8 pin,7680x4320,4,8.0
Видеокарта 12 Gb Gigabyte GeForce RTX3060 AORUS (GV-N3060AORUS E-12GD 2.0),49097,Retail,игровая,OpenGL 4.6,12288.0,GDDR6,15000.0,192.0,1920.0,PCI-E;HDMI;DisplayPort,PCI Express 4.0,NVIDIA Ray Tracing;NVIDIA DLSS;NVIDIA Reflex;NVIDIA Broadcast;NVIDIA STUDIO;NVIDIA G-Sync;NVIDIA CUDA;NVIDIA Dynamic Super Resolution (DSR),8 pin + 8 pin,7680x4320,4,8.0
Видеокарта nVidia GeForce RTX3070 Zotac Gaming Twin Edge LHR 8Gb (ZT-A30700E-10PLHR),48159,Retail,игровая,нет,8192.0,GDDR6,14000.0,256.0,1665.0,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 4.0,нет,8 pin,4096x2160,2,8.0
"Видеокарта Sapphire PULSE Radeon RX 6600 8 GB (11310-01-20G), Retail",27551,Retail,игровая,необходимость дополнительного питания,8192.0,GDDR6,14000.0,128.0,1626.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",8 pin,7680x4320,4,7.0
"Видеокарта MSI GeForce GTX 1650 VENTUS XS 4G OCV1, Retail",16800,Retail,игровая,нет,4096.0,GDDR5,8000.0,128.0,1695.0,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,"поддержка CUDA, поддержка Vulkan",8 pin,7680x4320,3,12.0
"Видеокарта AFOX Radeon R9 370 4Gb (AFR9370-4096D5H4), Retail",9569,Retail,игровая,нет,4096.0,GDDR5,8000.0,256.0,860.0,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,поддержка HDCP,8 pin,3840x2160,3,28.0
"Видеокарта MSI GeForce RTX 2060 SUPER VENTUS OCV1 8GB, Retail",34277,Retail,игровая,нет,8192.0,GDDR6,14000.0,256.0,1470.0,"выход DisplayPort x 3, выход HDMI",PCI Express 3.0,нет,8 pin + 6 pin,7680x4320,4,12.0
"Видеокарта MSI GeForce RTX 4080 GAMING X TRIO 16GB, Retail",113990,Retail,игровая,нет,16384.0,GDDR6X,22400.0,256.0,2610.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,нет,16 pin,7680x4320,4,5.0
"Видеокарта Palit GeForce RTX 3070 GamingPro V1 LHR 8GB (NE63070019P2-1041A V1), Retail",51100,Retail,игровая,необходимость дополнительного питания,8192.0,GDDR6,14000.0,256.0,1725.0,"выход DisplayPort x 3, выход HDMI, интерфейс USB Type-C",PCI Express 4.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",8 pin + 8 pin,7680x4320,4,8.0
"Видеокарта MSI GeForce RTX 4070 Ti GAMING X TRIO 12GB, Retail",90910,Retail,игровая,необходимость дополнительного питания,12288.0,GDDR6X,21000.0,192.0,2760.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",16 pin,7680x4320,4,4.0
Видеокарта pcwinmax RX550 2GB,5600,Retail,игровая,нет,2048.0,GDDR5,6000.0,128.0,1183.0,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,нет,8 pin,5120 х 2880,2,28.0
"Видеокарта Sapphire Nitro+ Radeon RX 470 1143MHz PCI-E 3.0 4096MB 7000Hz 256 bit DVI 2xHDMI HDCP (11256-06), Retail",7800,Retail,игровая,нет,4096.0,GDDR5,7000.0,256.0,1143.0,"выход DVI, выход DisplayPort x 2, выход HDMI x 2",PCI Express 3.0,нет,8 pin,7680x4320,5,14.0
Видеокарта AFOX Radeon R7 350 2048Mb ATX Single fan AFR7350-2048D5H4,5799,Retail,игровая,нет,2048.0,GDDR5,4000.0,64.0,954.0,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,нет,8 pin,4096x2160,2,28.0
Видеокарта GTX 1660 Super galax 6GB gddr6,14999,Retail,игровая,нет,6144.0,GDDR6,14000.0,192.0,1530.0,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,нет,8 pin,7680x4320,4,12.0
"Видеокарта GIGABYTE Radeon RX 6400 D6 LOW PROFILE 4G (GV-R64D6-4GL), Retail",11601,Retail,игровая,низкопрофильная карта (Low Profile),4096.0,GDDR6,16000.0,64.0,2321.0,"выход DisplayPort, выход HDMI",PCI Express 4.0,поддержка HDCP,8 pin,7680x4320,2,6.0
"Видеокарта ASUS GeForce GT 730 2GB (GT730-SL-2GD5-BRK-E), Retail",6520,Retail,игровая,"низкопрофильная карта (Low Profile), пассивное охлаждение",2048.0,GDDR5,5010.0,64.0,706.0,"выход DVI, выход HDMI, выход VGA",PCI Express 2.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan",8 pin,3840x2160,3,28.0
Видеокарта ASUS GeForce GTX 960 1190Mhz PCI-E 3.0 4096Mb 7010Mhz 128 bit DVI HDMI HDCP TURBO,8190,Retail,игровая,нет,4096.0,GDDR5,7010.0,128.0,1190.0,выход HDMI,PCI Express 3.0,нет,6 pin,5120x3200,4,28.0
"Видеокарта ASRock Radeon RX 6500 XT Phantom Gaming D 4GB OC (RX6500XT PGD 4GO), Retail",36029,Retail,игровая,необходимость дополнительного питания,4096.0,GDDR6,18000.0,64.0,2820.0,"выход DisplayPort, выход HDMI",PCI Express 4.0,поддержка HDCP,8 pin,7680x4320,2,6.0
"Видеокарта Sinotex Ninja GeForce GT 730 2GB (NK73NP023F), Retail",4090,Retail,игровая,нет,2048.0,GDDR3,1333.0,128.0,700.0,"выход DVI, выход HDMI, выход VGA",PCI Express 2.0,нет,8 pin,2560x1600,2,40.0
Видеокарта MSI RTX3060 VENTUS 2X 8G OC,28681,Retail,игровая,необходимость дополнительного питания,8192.0,GDDR6,1410.0,128.0,1665.0,"выход DisplayPort, выход HDMI, интерфейс USB Type-C",PCI Express 4.0,поддержка CUDA,8 pin,7680x4320,4,8.0
"Видеокарта AFOX GeForce GTX 1650 4GB ATX Dual Fan (AF1650-4096D6H1-V4), Retail",14990,Retail,игровая,нет,4096.0,GDDR6,12000.0,128.0,1665.0,"выход DisplayPort, выход HDMI",PCI Express 3.0,"поддержка CUDA, поддержка HDCP",6 pin,4096x2160,3,12.0
"Видеокарта GIGABYTE Radeon RX 6700 XT EAGLE 12GB (GV-R67XTEAGLE-12GD), Retail",41481,Retail,игровая,необходимость дополнительного питания,12288.0,GDDR6,16000.0,192.0,2424.0,"выход DisplayPort x 2, выход HDMI x 2, интерфейс USB Type-C",PCI Express 4.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",8 pin + 6 pin,7680x4320,4,7.0
"Видеокарта MSI GeForce GTX 1660 SUPER GAMING 6GB, Retail",17199,Retail,игровая,необходимость дополнительного питания,6144.0,GDDR6,14000.0,192.0,1785.0,"выход DisplayPort x 3, выход HDMI",PCI Express 3.0,"поддержка CUDA, поддержка HDCP",8 pin,7680x4320,4,12.0
Видеокарта Sinotex Ninja GeForce GTX750 (NH75NP045F),8090,Retail,игровая,нет,4096.0,GDDR5,5000.0,128.0,1072.0,"выход DVI, выход HDMI",PCI Express 3.0,поддержка CUDA,8 pin,2560x1600,3,28.0
"Видеокарта Palit GeForce RTX 3070 GamingPro OC V1 8Gb, Retail",52200,Retail,игровая,Low Hash Rate,8192.0,GDDR6,14000.0,256.0,1770.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",8 pin + 8 pin,7680x4320,4,8.0
"Видеокарта NVIDIA Tesla V100 32GB (900-2G500-0010-000), OEM",929910,OEM,игровая,нет,32768.0,HBM2,878.0,4096.0,1246.0,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,нет,8 pin,4096x2160,2,12.0
Видеокарта GIGABYTE GeForce GTX 760 [GV-N760OC-2GD] Windforce,6590,Retail,игровая,нет,2048.0,GDDR5,4000.0,256.0,954.0,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,нет,8 pin,4096x2160,2,28.0
"Видеокарта Palit GeForce RTX 3060 Ti Dual 8GB (NE6306T019P2-190AD V1), Retail",32000,Retail,игровая,нет,8192.0,GDDR6,14000.0,256.0,1410.0,"выход DisplayPort x 3, выход HDMI, интерфейс USB Type-C",PCI Express 4.0,"поддержка CUDA, поддержка Vulkan, поддержка трассировки лучей",8 pin,7680x4320,4,8.0
Видеокарта MSI GeForce RTX 3070 8 ГБ (RTX 3070 GAMING Z TRIO),45900,Retail,игровая,нет,8192.0,GDDR6,14000.0,256.0,1500.0,выход HDMI,PCI Express 4.0,нет,8 pin,7680x4320,4,8.0
"Видеокарта GIGABYTE GeForce GTX 1650 OC Low Profile 4G (GV-N1650OC-4GL), Retail",16099,Retail,игровая,нет,4096.0,GDDR5,8002.0,128.0,1695.0,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,нет,8 pin,7680x4320,3,12.0
"Видеокарта GIGABYTE GeForce GTX 1650 OC Low Profile 4G (GV-N1650OC-4GL), Retail",16099,Retail,игровая,нет,4096.0,GDDR5,8002.0,128.0,1695.0,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,нет,8 pin,7680x4320,3,12.0
"Видеокарта Palit GeForce RTX 3070 JetStream 8GB (NE63070019P2-1040J), Retail",39590,Retail,игровая,нет,8192.0,GDDR6,14000.0,256.0,1500.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,нет,8 pin + 8 pin,7680x4320,4,8.0
"Видеокарта PowerColor Red Devil Radeon RX 6750 XT 12GB (AXRX 6750 XT 12GBD6-3DHE/OC), Retail",45380,Retail,игровая,необходимость дополнительного питания,12288.0,GDDR6,18000.0,192.0,2713.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,поддержка Vulkan,8 pin + 8 pin,7680x4320,4,7.0
"Видеокарта Sinotex Ninja Radeon R7 350 2GB (AHR735025F), Retail",4799,Retail,игровая,нет,2048.0,GDDR3,1600.0,128.0,1000.0,"выход DVI, выход HDMI, выход VGA",PCI Express 3.0,нет,8 pin,2560x1600,2,28.0
"Видеокарта Sapphire Radeon RX 6700 XT Pulse 12GB (11306-02-20G), Retail",41151,Retail,игровая,необходимость дополнительного питания,12288.0,GDDR6,16000.0,192.0,2424.0,"выход DVI, выход DisplayPort, выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка Vulkan, поддержка трассировки лучей",8 pin + 6 pin,7680x4320,4,7.0
"Видеокарта Palit GeForce RTX 3090 GameRock 24GB (NED3090T19SB-1021G), Retail",79999,Retail,игровая,нет,24576.0,GDDR6X,19500.0,384.0,1395.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,нет,8 pin+8 pin+8 pin,7680x4320,4,8.0
"Видеокарта Palit GeForce RTX 3090 GameRock 24GB (NED3090T19SB-1021G), Retail",79999,Retail,игровая,нет,24576.0,GDDR6X,19500.0,384.0,1395.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,нет,8 pin+8 pin+8 pin,7680x4320,4,8.0
Видеокарта Gainward RTX4070 GHOST OC 12GB GDDR6X 192bit 3-DP HDMI,69231,Retail,игровая,нет,12288.0,GDDR6X,21000.0,192.0,1920.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,поддержка трассировки лучей,8 pin,7680x4320,2,5.0
"Видеокарта ASUS Dual GeForce RTX 3060 Ti V2 OC (DUAL-RTX3060TI-O8G-V2), Retail",42990,Retail,игровая,"Low Hash Rate, необходимость дополнительного питания",8192.0,GDDR6,14000.0,256.0,1710.0,"выход DisplayPort x 3, выход HDMI x 2, интерфейс USB Type-C",PCI Express 4.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",8 pin,7680x4320,4,8.0
"Видеокарта MSI GeForce RTX 2060 SUPER VENTUS OC, OEM",21700,OEM,игровая,нет,8192.0,GDDR6,14000.0,256.0,1665.0,"выход DisplayPort x 3, выход HDMI",PCI Express 3.0,"поддержка CUDA, поддержка HDCP, поддержка трассировки лучей",8 pin,7680x4320,4,12.0
Видеокарта AFOX Radeon R5 230 2048Mb LP Single Fan (AFR5230-2048D3L5),2890,Retail,игровая,низкопрофильная карта (Low Profile),2000.0,GDDR3,1334.0,64.0,625.0,"выход DVI, выход HDMI, выход VGA",PCI Express 2.0,нет,Нет,4096x2160,2,40.0
ASUS GeForce GTX 1070 8192Mb,15990,OEM,игровая,необходимость дополнительного питания,8192.0,GDDR5,14000.0,256.0,1582.0,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,нет,8 pin,7680x4320,4,16.0
"Видеокарта GIGABYTE GeForce RTX 3060 VISION OC 12G (GV-N3060VISION OC-12GD) (rev. 2.0), Retail",39534,Retail,игровая,"Low Hash Rate, необходимость дополнительного питания",12288.0,GDDR6,15000.0,192.0,1837.0,"выход DisplayPort x 2, выход HDMI x 2",PCI Express 4.0,"поддержка CUDA, поддержка трассировки лучей",8 pin,7680x4320,4,8.0
"Видеокарта ASUS TUF Gaming GeForce RTX 3060 V2 OC Edition 12GB (TUF-RTX3060-O12G-V2-GAMING), Retail",40990,Retail,игровая,нет,12288.0,GDDR6,15000.0,192.0,1852.0,"выход DisplayPort x 3, выход HDMI x 2, интерфейс USB Type-C",PCI Express 4.0,нет,8 pin,7680x4320,4,8.0
"Видеокарта AFOX Radeon R5 220 2 GB (AFR5220-2048D3L5), Retail",2790,Retail,игровая,нет,2048.0,GDDR3,1334.0,64.0,650.0,"выход DVI, выход HDMI, выход VGA",PCI Express 3.0,нет,8 pin,4096x2160,2,40.0
"Видеокарта ASUS GeForce GT 1030 Silent LP 2GB (GT1030-SL-2G-BRK), Retail",9345,Retail,игровая,нет,2048.0,GDDR5,6008.0,64.0,1228.0,"выход DVI, выход HDMI",PCI Express 3.0,нет,8 pin,4096x2160,2,14.0
"Видеокарта MSI GeForce RTX 4070 Ti SUPRIM X 12G, Retail",95140,Retail,игровая,необходимость дополнительного питания,12288.0,GDDR6X,21000.0,192.0,2790.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",16 pin,7680x4320,4,4.0
"Видеокарта ASUS TUF Gaming GeForce RTX 3070 V2 OC Edition 8GB, TUF-RTX3070-O8G-V2-GAMING, Retail",58989,Retail,игровая,"Low Hash Rate, необходимость дополнительного питания",8192.0,GDDR6,14000.0,256.0,1500.0,"выход DisplayPort x 3, выход HDMI x 2, интерфейс USB Type-C",PCI Express 4.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",8 pin + 8 pin,7680x4320,4,8.0
"Видеокарта MSI Radeon RX 6650 XT GAMING X 8G, Retail",34978,Retail,игровая,необходимость дополнительного питания,8192.0,GDDR6,17500.0,128.0,2694.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка HDCP, поддержка Vulkan",8 pin,7680x4320,4,7.0
"Видеокарта AFOX Radeon R5 230 2GB (AFR5230-2048D3L9-V2), Retail",2574,Retail,игровая,нет,2048.0,GDDR3,1066.0,64.0,625.0,"выход DVI, выход HDMI, выход VGA",PCI Express 2.0,поддержка HDCP,8 pin,2048x1536,2,40.0
"Видеокарта GIGABYTE GeForce GT 710 2GB (GV-N710D3-2GL) rev 2.0, Retail",4500,Retail,игровая,низкопрофильная карта (Low Profile),2048.0,GDDR3,1600.0,64.0,954.0,"выход DVI, выход HDMI, выход VGA",PCI Express 2.0,нет,8 pin,4096x2160,2,28.0
"Видеокарта Palit GeForce RTX 3080 GamingPro 10GB (NED3080019IA-132AA), Retail",70450,Retail,игровая,нет,10240.0,GDDR6X,19000.0,320.0,1440.0,"выход DisplayPort, выход DisplayPort x 3, выход HDMI, PCI",PCI Express 4.0,"поддержка CUDA, поддержка Vulkan",8 pin + 8 pin,7680x4320,4,8.0
"Видеокарта GIGABYTE Radeon RX 6600 EAGLE 8G (GV-R66EAGLE-8GD), Retail",31189,Retail,игровая,необходимость дополнительного питания,8192.0,GDDR6,16000.0,128.0,2044.0,"выход DisplayPort x 2, выход HDMI x 2",PCI Express 4.0,"поддержка Vulkan, поддержка трассировки лучей",8 pin,7680x4320,4,7.0
"Видеокарта Palit GeForce GTX 1660 SUPER GP OC 6GB (NE6166SS18J9-1160A-1), Retail",24890,Retail,игровая,нет,6144.0,GDDR6,14000.0,192.0,1530.0,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,нет,8 pin,7680x4320,3,12.0
"GIGABYTE Видеокарта GIGABYTE GeForce RTX 3060 GAMING OC 8G GV-N3060GAMING OC-8GD (GeForce RTX 3060, 8ГБ GDDR6, 2xHDMI, 2xDP) (PCI-E) (ret)",27903,Retail,игровая,нет,8192.0,GDDR6,1320.0,192.0,1500.0,выход DisplayPort x 2,PCI Express 4.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",8 pin,7680x4320,4,8.0
"Видеокарта Colorful iGame GeForce RTX 3060 Ultra W OC 12G L-V, Retail",42626,Retail,игровая,нет,12288.0,GDDR6,15000.0,192.0,1320.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка CUDA, поддержка трассировки лучей",8 pin + 8 pin,7680x4320,4,8.0
"Видеокарта GIGABYTE Radeon RX 6400 D6 LOW PROFILE 4G (GV-R64D6-4GL), Retail",11601,Retail,игровая,низкопрофильная карта (Low Profile),4096.0,GDDR6,16000.0,64.0,2321.0,"выход DisplayPort, выход HDMI",PCI Express 4.0,поддержка HDCP,8 pin,7680x4320,2,6.0
Видеокарта nVidia GeForce RTX3070 Zotac Gaming Twin Edge LHR 8Gb (ZT-A30700E-10PLHR),48159,Retail,игровая,нет,8192.0,GDDR6,14000.0,256.0,1665.0,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 4.0,нет,8 pin,4096x2160,2,8.0
"Видеокарта AFOX Radeon R5 220 2 GB (AFR5220-2048D3L5), Retail",2790,Retail,игровая,нет,2048.0,GDDR3,1334.0,64.0,650.0,"выход DVI, выход HDMI, выход VGA",PCI Express 3.0,нет,8 pin,4096x2160,2,40.0
Видеокарта Palit nVidia GeForce RTX 4090 GameRock OmniBlack 24576Mb,174196,Retail,игровая,необходимость дополнительного питания,24567.0,GDDR6X,21000.0,384.0,2520.0,"выход DisplayPort, выход DisplayPort x 3, выход HDMI",PCI Express 4.0,нет,16 pin,7680x4320,4,5.0
"Видеокарта AFOX GeForce 210 1GB (AF210-1024D3L5-V2), Retail",2390,Retail,игровая,нет,1024.0,GDDR3,1000.0,64.0,589.0,"выход DVI, выход HDMI, выход VGA",PCI Express 2.0,поддержка CUDA,8 pin,4096x2160,2,40.0
